  Time                 , V(D2:2)              , V(D4:1)              
  0.000000000000e+00  ,0.000000000000e+00  ,1.176793038016e-15  
  2.500000000000e-10  ,7.853900888711e-02  ,7.837758849615e-02  
  3.859498128295e-10  ,1.212467387664e-01  ,1.209818175042e-01  
  6.578494384885e-10  ,2.066547844173e-01  ,2.061299134494e-01  
  1.201648689806e-09  ,3.774194093535e-01  ,3.761293673455e-01  
  2.041422255337e-09  ,6.408921667286e-01  ,6.378141375694e-01  
  2.837982453406e-09  ,8.903977410462e-01  ,8.849790415846e-01  
  3.591515548527e-09  ,1.125915368488e+00  ,1.117728443106e+00  
  3.992403350770e-09  ,1.250964560952e+00  ,1.241100177736e+00  
  4.108178388327e-09  ,1.287042291983e+00  ,1.276667193906e+00  
  4.289064515382e-09  ,1.343375631004e+00  ,1.332179592361e+00  
  4.466434899718e-09  ,1.398571949113e+00  ,1.386543803989e+00  
  4.815401468426e-09  ,1.507039320487e+00  ,1.493297049245e+00  
  5.513334605843e-09  ,1.723417661925e+00  ,1.705944978794e+00  
  6.909200880677e-09  ,2.153585175600e+00  ,2.127449874299e+00  
  9.700933430344e-09  ,3.000678796098e+00  ,2.951891822358e+00  
  1.486940119043e-08  ,4.503309936728e+00  ,4.366980545601e+00  
  1.873774263635e-08  ,5.552500124816e+00  ,4.243297843507e+00  
  2.329377267137e-08  ,6.682064835266e+00  ,2.999497771448e+00  
  2.740276787058e-08  ,7.584185927657e+00  ,2.604889257004e+00  
  3.437800142542e-08  ,8.819657096329e+00  ,2.393038265957e+00  
  4.202676746622e-08  ,9.687919481168e+00  ,2.360229266783e+00  
  5.732429954782e-08  ,9.736436707235e+00  ,2.101212825728e+00  
  8.232546779886e-08  ,5.271657904859e+00  ,1.668241314799e+00  
  8.545061383024e-08  ,4.413319406009e+00  ,1.592011257417e+00  
  9.170090589300e-08  ,2.577798906762e+00  ,1.393997074877e+00  
  9.326347890869e-08  ,2.100577739187e+00  ,1.304185853412e+00  
  9.638862494007e-08  ,1.132114526574e+00  ,9.083921380870e-01  
  9.690215620771e-08  ,9.716807542546e-01  ,7.782864506404e-01  
  9.792921874300e-08  ,6.500963334913e-01  ,4.955741459322e-01  
  9.829764995351e-08  ,5.345541323434e-01  ,3.905060610638e-01  
  9.839855875447e-08  ,5.028953900366e-01  ,3.614912200056e-01  
  9.851769819483e-08  ,4.655105550361e-01  ,3.271216952686e-01  
  9.875597707555e-08  ,3.907218446975e-01  ,2.580586703420e-01  
  9.923253483698e-08  ,2.410829323997e-01  ,1.188643911914e-01  
  9.973367951438e-08  ,8.366607197641e-02  ,-2.871641124841e-02  
  1.002408777885e-07  ,-7.567326683110e-02  ,-1.790175095510e-01  
  1.006765504889e-07  ,-2.125286020270e-01  ,-3.086935306307e-01  
  1.009185546599e-07  ,-2.885324078225e-01  ,-3.809011509258e-01  
  1.009808834232e-07  ,-3.081048482104e-01  ,-3.995169438252e-01  
  1.010973453112e-07  ,-3.446729153974e-01  ,-4.343195069630e-01  
  1.012196978144e-07  ,-3.830856081289e-01  ,-4.709058936989e-01  
  1.014644028209e-07  ,-4.598934459617e-01  ,-5.441435345982e-01  
  1.018933699988e-07  ,-5.944690341315e-01  ,-6.727008242991e-01  
  1.024802894853e-07  ,-7.784176550474e-01  ,-8.488411920388e-01  
