  Time                 , V(Vsin:+)            , V(D1:2)              
  0.000000000000e+00  ,0.000000000000e+00  ,1.176793038016e-15  
  2.500000000000e-10  ,6.283120710969e-03  ,6.270207081145e-03  
  4.737968146801e-10  ,1.190737303481e-02  ,1.187978334003e-02  
  9.213904440403e-10  ,2.315383388918e-02  ,2.308501146625e-02  
  1.816577702761e-09  ,4.563079856537e-02  ,4.542796902902e-02  
  3.606952220201e-09  ,9.045871781007e-02  ,8.980118223306e-02  
  7.187701255083e-09  ,1.791153679748e-01  ,1.769365734484e-01  
  1.246792772412e-08  ,3.054018843895e-01  ,2.999117064781e-01  
  1.747248271108e-08  ,4.174090225908e-01  ,4.080519111909e-01  
  2.303955653310e-08  ,5.297948170614e-01  ,5.158275826870e-01  
  2.822739580274e-08  ,6.200377631809e-01  ,6.016760259239e-01  
  3.085409799218e-08  ,6.595964026017e-01  ,6.390856001390e-01  
  3.212591210008e-08  ,6.771526840517e-01  ,6.556265670658e-01  
  3.389691510797e-08  ,6.997935396938e-01  ,6.768922647814e-01  
  3.682313063741e-08  ,7.324269689054e-01  ,7.073682998740e-01  
  4.267556169629e-08  ,7.789141412034e-01  ,7.500818910682e-01  
  4.919034937024e-08  ,7.997412194465e-01  ,7.677611090818e-01  
  5.687189796567e-08  ,7.814294094504e-01  ,7.474616920583e-01  
  7.059735754132e-08  ,6.382755913271e-01  ,6.058821353742e-01  
  8.177769878507e-08  ,4.333682370046e-01  ,4.068068149319e-01  
  8.706835606694e-08  ,3.161409013045e-01  ,2.935228365275e-01  
  8.847726085782e-08  ,2.833144062579e-01  ,2.618589121601e-01  
  8.998972871900e-08  ,2.474590935354e-01  ,2.272927479848e-01  
  9.234150448442e-08  ,1.906273243151e-01  ,1.725418951210e-01  
  9.704505601525e-08  ,7.415921998568e-02  ,6.047096634636e-02  
  1.008001486361e-07  ,-2.010781080740e-02  ,-3.011498643490e-02  
  1.052541057169e-07  ,-1.314512637469e-01  ,-1.369424177483e-01  
  1.083166668713e-07  ,-2.066506066225e-01  ,-2.089887903264e-01  
  1.115703354180e-07  ,-2.844327881943e-01  ,-2.833973378139e-01  
  1.180776725113e-07  ,-4.303083902188e-01  ,-4.225986745311e-01  
  1.228967080414e-07  ,-5.270994143179e-01  ,-5.146158675169e-01  
  1.282045016587e-07  ,-6.196740103324e-01  ,-6.022096010808e-01  
  1.309463153183e-07  ,-6.609051315568e-01  ,-6.410134282764e-01  
  1.322216684520e-07  ,-6.784311015317e-01  ,-6.574506936719e-01  
  1.340241501629e-07  ,-7.013375473489e-01  ,-6.788690261746e-01  
  1.369559536278e-07  ,-7.337633526393e-01  ,-7.090217331885e-01  
  1.428195605576e-07  ,-7.797316048653e-01  ,-7.510628131687e-01  
  1.494706938565e-07  ,-7.998893978425e-01  ,-7.679389195031e-01  
  1.571611831486e-07  ,-7.798397111839e-01  ,-7.459049262024e-01  
  1.718283961117e-07  ,-6.191507539779e-01  ,-5.872272283174e-01  
  1.842783162892e-07  ,-3.792586505671e-01  ,-3.544456119685e-01  
  1.900927493870e-07  ,-2.449955923674e-01  ,-2.248574744217e-01  
  1.913977185786e-07  ,-2.135768492568e-01  ,-1.945896763309e-01  
