Item Number,Quantity,Value,Description,Part Number,Part Reference,Manufacturer Name,Manufacturer Part Number,ID,SKU,ALT_MPN,ALT_MFR
1,1,10,,,R3,,,201,,,
2,1,1.5K,,,R13,,,214,,,
3,1,1.5k,,,R14,,,198,,,
4,1,1K,,,R15,,,96,,,
5,1,10k,,,R16,,,152,,,
6,1,1M,,,R17,,,155,,,
7,1,10k,,,R18,,,168,,,
8,1,10k,,,R19,,,171,,,
9,1,10k,,,R20,,,174,,,
10,1,10k,,,R21,,,177,,,
11,1,10k,,,R22,,,186,,,
12,1,10k,,,R23,,,189,,,
13,1,ADA4870,,,U3,,,207,,,
14,1,TX810,,,U4,,,100,,,
