Item Number,Quantity,Value,Description,Part Number,Part Reference,Manufacturer Name,Manufacturer Part Number,ID,SKU,ALT_MPN,ALT_MFR
1,1,1k,,,R1,,,22,,,
2,1,1k,,,R2,,,25,,,
3,1,5K,,,R3,,,28,,,
4,1,5K,,,R4,,,31,,,
5,1,5K,,,R5,,,34,,,
6,1,uA741,,,U1,,,71,,,
