Item Number,Quantity,Value,Description,Part Number,Part Reference,Manufacturer Name,Manufacturer Part Number,ID,SKU,ALT_MPN,ALT_MFR
1,1,10,,,R3,,,28,,,
2,1,1.5K,,,R13,,,16,,,
3,1,1.5k,,,R14,,,77,,,
4,1,ADA4870,,,U3,,,9,,,
