  Time                 , V(R3:2)              , V(U3:100)            
  0.000000000000e+00  ,2.298513390455e-02  ,0.000000000000e+00  
  2.000000000000e-10  ,2.298574537548e-02  ,1.256628793112e-02  
  2.407337211072e-10  ,2.298589032222e-02  ,1.512560160312e-02  
  3.222011633217e-10  ,2.298622655448e-02  ,2.024415044697e-02  
  4.851360477507e-10  ,2.298708090819e-02  ,3.048081678529e-02  
  5.258697688580e-10  ,2.298732543767e-02  ,3.303986905846e-02  
  5.271426976426e-10  ,2.298733324652e-02  ,3.311983859197e-02  
  5.296885552118e-10  ,2.298734889585e-02  ,3.327977749998e-02  
  5.303250196041e-10  ,2.298735281477e-02  ,3.331976219376e-02  
  5.315979483887e-10  ,2.298736066051e-02  ,3.339973154133e-02  
  5.319161805848e-10  ,2.298736262359e-02  ,3.341972386988e-02  
  5.325526449771e-10  ,2.298736655173e-02  ,3.345970851697e-02  
  5.327117610752e-10  ,2.298736753418e-02  ,3.346970467665e-02  
  5.330299932713e-10  ,2.298736949956e-02  ,3.348969699350e-02  
  5.336664576636e-10  ,2.298737343231e-02  ,3.352968161716e-02  
  5.349393864482e-10  ,2.298738130569e-02  ,3.360965082425e-02  
  5.374852440174e-10  ,2.298739708403e-02  ,3.376958907706e-02  
  5.425769591558e-10  ,2.298742876693e-02  ,3.408946493359e-02  
  5.527603894327e-10  ,2.298749263752e-02  ,3.472921402168e-02  
  5.731272499863e-10  ,2.298762240024e-02  ,3.600870146877e-02  
  6.138609710935e-10  ,2.298789005396e-02  ,3.856763161324e-02  
  6.953284133080e-10  ,2.298845835580e-02  ,4.368529823670e-02  
  8.582632977370e-10  ,2.298973352858e-02  ,5.391973949451e-02  
  1.184133066595e-09  ,2.299299434951e-02  ,7.438411554701e-02  
  1.835872604311e-09  ,2.300827535869e-02  ,1.152873360953e-01  
  1.996991409719e-09  ,2.301489694904e-02  ,1.253923762135e-01  
  2.037271111071e-09  ,2.301685729818e-02  ,1.279181443791e-01  
  2.117830513776e-09  ,2.302123882872e-02  ,1.329690621609e-01  
  2.137970364452e-09  ,2.302243725553e-02  ,1.342316597931e-01  
