  Time                 , V(R3:2)              , V(U3:100)            
  0.000000000000e+00  ,2.298513390455e-02  ,0.000000000000e+00  
  2.000000000000e-10  ,2.298971993655e-02  ,9.424715948338e-02  
  2.250000000000e-10  ,2.299036314452e-02  ,1.060278691087e-01  
  2.590573024005e-10  ,2.299131535606e-02  ,1.220765300664e-01  
  3.271719072014e-10  ,2.299350360374e-02  ,1.541734143593e-01  
  4.634011168033e-10  ,2.299880125667e-02  ,2.183649180475e-01  
  7.358595360070e-10  ,2.301235828981e-02  ,3.467347507793e-01  
  1.280776374415e-09  ,2.305672539634e-02  ,6.033888023257e-01  
  2.061131559685e-09  ,2.327450466189e-02  ,9.706067619863e-01  
  2.151050754264e-09  ,2.331846862482e-02  ,1.012887453136e+00  
  2.173530552909e-09  ,2.333053349040e-02  ,1.023456376153e+00  
  2.218490150198e-09  ,2.335608562123e-02  ,1.044592685565e+00  
  2.229730049521e-09  ,2.336277720820e-02  ,1.049876438944e+00  
  2.252209848166e-09  ,2.337654354609e-02  ,1.060443552324e+00  
  2.257829797827e-09  ,2.338006731665e-02  ,1.063085248234e+00  
  2.269069697149e-09  ,2.338721632237e-02  ,1.068368540557e+00  
  2.291549495794e-09  ,2.340192995584e-02  ,1.078934724907e+00  
  2.292251989502e-09  ,2.340239877580e-02  ,1.079264909524e+00  
  2.293656976917e-09  ,2.340333808834e-02  ,1.079925277182e+00  
  2.293700882774e-09  ,2.340336747782e-02  ,1.079945913637e+00  
  2.293788694487e-09  ,2.340342626332e-02  ,1.079987186542e+00  
  2.293810647415e-09  ,2.340344096105e-02  ,1.079997504767e+00  
  2.293816135647e-09  ,2.340344463557e-02  ,1.080000084323e+00  
  2.293827112112e-09  ,2.340345198472e-02  ,1.080005243435e+00  
  2.293849065040e-09  ,2.340346668341e-02  ,1.080015561659e+00  
  2.293892970897e-09  ,2.340349608243e-02  ,1.080036198105e+00  
  2.293980782610e-09  ,2.340355488702e-02  ,1.080077470992e+00  
  2.294156406037e-09  ,2.340367252240e-02  ,1.080160016741e+00  
  2.294507652891e-09  ,2.340390789800e-02  ,1.080325108140e+00  
  2.295210146599e-09  ,2.340437906878e-02  ,1.080655290542e+00  
  2.296615134014e-09  ,2.340532309126e-02  ,1.081315653769e+00  
  2.299425108844e-09  ,2.340721787957e-02  ,1.082636373900e+00  
  2.305045058506e-09  ,2.341103458794e-02  ,1.085277788842e+00  
  2.316284957828e-09  ,2.341877780952e-02  ,1.090560517152e+00  
  2.338764756473e-09  ,2.343471386494e-02  ,1.101125565174e+00  
  2.383724353762e-09  ,2.346847033523e-02  ,1.122254008385e+00  
  2.473643548342e-09  ,2.354425335895e-02  ,1.164504135944e+00  
  2.653481937500e-09  ,2.373551572990e-02  ,1.248976175660e+00  
  3.013158715816e-09  ,2.434243527290e-02  ,1.417797957916e+00  
  3.732512272449e-09  ,2.718437747001e-02  ,1.754876920880e+00  
  4.868167019935e-09  ,4.069819049558e-02  ,2.285137057264e+00  
  6.588878608795e-09  ,1.042825645771e-01  ,3.082810364925e+00  
  8.901166297050e-09  ,3.311458311830e-01  ,4.140121497829e+00  
  1.250165937051e-08  ,1.156332018780e+00  ,5.740973914453e+00  
  1.866328952417e-08  ,3.941762718758e+00  ,8.299547646998e+00  
  2.710479734048e-08  ,9.399552275270e+00  ,1.128426361642e+01  
  3.277021882639e-08  ,1.265452220641e+01  ,1.285567454535e+01  
  3.703493116006e-08  ,1.454464859712e+01  ,1.377284851493e+01  
  4.101801154718e-08  ,1.581650693336e+01  ,1.440677098342e+01  
  4.359442231760e-08  ,1.641160713923e+01  ,1.469730063823e+01  
  4.561203954324e-08  ,1.678606414095e+01  ,1.485770207608e+01  
  4.757973787889e-08  ,1.709383187838e+01  ,1.495666123068e+01  
  4.923004148111e-08  ,1.731611674961e+01  ,1.499561192047e+01  
  5.114819345579e-08  ,1.753832007250e+01  ,1.499024237660e+01  
  5.295048890218e-08  ,1.771737522138e+01  ,1.493560709662e+01  
  5.397904155359e-08  ,1.780807530913e+01  ,1.488295513936e+01  
  5.560140547857e-08  ,1.793580229052e+01  ,1.476834908294e+01  
  5.790475247011e-08  ,1.808971984657e+01  ,1.453984463831e+01  
  6.251144645319e-08  ,1.832392224364e+01  ,1.385612789191e+01  
  6.740647790536e-08  ,1.848525670359e+01  ,1.281257439442e+01  
  7.609832522974e-08  ,1.864093082047e+01  ,1.023438113125e+01  
  7.723472503528e-08  ,1.864944668591e+01  ,9.836438068989e+00  
  7.950752464637e-08  ,1.866021719904e+01  ,9.003467521589e+00  
  7.988554847941e-08  ,1.866110722822e+01  ,8.860355226662e+00  
  8.064159614548e-08  ,1.866172592852e+01  ,8.570402083919e+00  
