  Time                 , V(R3:2)              , V(U3:100)            
  0.000000000000e+00  ,2.298513390455e-02  ,0.000000000000e+00  
  2.000000000000e-10  ,2.298540906647e-02  ,5.654829569003e-03  
  2.697793439031e-10  ,2.298552829964e-02  ,7.627739924171e-03  
  4.093380317092e-10  ,2.298582173580e-02  ,1.157344118449e-02  
  6.884554073215e-10  ,2.298661252781e-02  ,1.946410044673e-02  
  7.582347512245e-10  ,2.298684732616e-02  ,2.143655511650e-02  
  8.977934390306e-10  ,2.298736499492e-02  ,2.538114592701e-02  
  9.326831109822e-10  ,2.298750483450e-02  ,2.636722035818e-02  
  1.002462454885e-09  ,2.298779831183e-02  ,2.833927300187e-02  
  1.019907290861e-09  ,2.298787464708e-02  ,2.883226525345e-02  
  1.054796962813e-09  ,2.298803114226e-02  ,2.981822362886e-02  
  1.063519380800e-09  ,2.298807107360e-02  ,3.006470767147e-02  
  1.065699985297e-09  ,2.298808110726e-02  ,3.012632833011e-02  
  1.070061194291e-09  ,2.298810123744e-02  ,3.024956922294e-02  
  1.078783612279e-09  ,2.298814175145e-02  ,3.049604930276e-02  
  1.079056187841e-09  ,2.298814302298e-02  ,3.050375176845e-02  
  1.079601338966e-09  ,2.298814556704e-02  ,3.051915669312e-02  
  1.079737626747e-09  ,2.298814620327e-02  ,3.052300792289e-02  
  1.080010202309e-09  ,2.298814747597e-02  ,3.053071038076e-02  
  1.080555353433e-09  ,2.298815002237e-02  ,3.054611528976e-02  
  1.081645655681e-09  ,2.298815511920e-02  ,3.057692508089e-02  
  1.083826260178e-09  ,2.298816532894e-02  ,3.063854455549e-02  
  1.088187469172e-09  ,2.298818581312e-02  ,3.076178307303e-02  
  1.089277771421e-09  ,2.298819094767e-02  ,3.079259261227e-02  
  1.089550346983e-09  ,2.298819223216e-02  ,3.080029499144e-02  
  1.090095498107e-09  ,2.298819480215e-02  ,3.081569974300e-02  
  1.091185800356e-09  ,2.298819994622e-02  ,3.084650921900e-02  
  1.093366404853e-09  ,2.298821025069e-02  ,3.090812806239e-02  
  1.097727613847e-09  ,2.298823092533e-02  ,3.103136531372e-02  
  1.106450031835e-09  ,2.298827253978e-02  ,3.127783806650e-02  
  1.123894867810e-09  ,2.298835684915e-02  ,3.177077650773e-02  
  1.158784539762e-09  ,2.298852996017e-02  ,3.275662461469e-02  
  1.228563883665e-09  ,2.298889572586e-02  ,3.472820158122e-02  
  1.368122571471e-09  ,2.298972213343e-02  ,3.867084536423e-02  
  1.647239947083e-09  ,2.299197957429e-02  ,4.655382709051e-02  
  1.717019290986e-09  ,2.299270364129e-02  ,4.852403689141e-02  
  1.856577978792e-09  ,2.299445644642e-02  ,5.246374745564e-02  
  1.891467650744e-09  ,2.299496613958e-02  ,5.344852047779e-02  
  1.961246994647e-09  ,2.299609338282e-02  ,5.541787269731e-02  
  2.100805682453e-09  ,2.299889158986e-02  ,5.935576871468e-02  
  2.105166891447e-09  ,2.299899078464e-02  ,5.947880997420e-02  
  2.106257193696e-09  ,2.299901571586e-02  ,5.950957011471e-02  
  2.108437798193e-09  ,2.299906573823e-02  ,5.957109018623e-02  
  2.112799007187e-09  ,2.299916642674e-02  ,5.969412949029e-02  
  2.112935294968e-09  ,2.299916958709e-02  ,5.969797445049e-02  
  2.113207870530e-09  ,2.299917591032e-02  ,5.970566436763e-02  
  2.113276014420e-09  ,2.299917749166e-02  ,5.970758684622e-02  
  2.113412302201e-09  ,2.299918065496e-02  ,5.971143180260e-02  
  2.113446374147e-09  ,2.299918144592e-02  ,5.971239304152e-02  
  2.113454892133e-09  ,2.299918164367e-02  ,5.971263335124e-02  
  2.113471928106e-09  ,2.299918203917e-02  ,5.971311397067e-02  
  2.113476187099e-09  ,2.299918213805e-02  ,5.971323412553e-02  
  2.113484705085e-09  ,2.299918233581e-02  ,5.971347443523e-02  
  2.113486834582e-09  ,2.299918238525e-02  ,5.971353451266e-02  
  2.113491093575e-09  ,2.299918248413e-02  ,5.971365466751e-02  
  2.113499611561e-09  ,2.299918268190e-02  ,5.971389497720e-02  
  2.113516647534e-09  ,2.299918307744e-02  ,5.971437559659e-02  
  2.113550719479e-09  ,2.299918386856e-02  ,5.971533683530e-02  
  2.113618863369e-09  ,2.299918545095e-02  ,5.971725931252e-02  
  2.113755151151e-09  ,2.299918861638e-02  ,5.972110426614e-02  
  2.114027726713e-09  ,2.299919494977e-02  ,5.972879417011e-02  
  2.114572877837e-09  ,2.299920762670e-02  ,5.974417396489e-02  
