  Time                 , V(R3:2)              , V(U3:100)            
  0.000000000000e+00  ,2.298513390455e-02  ,0.000000000000e+00  
  2.000000000000e-10  ,2.298528677228e-02  ,3.141571982779e-03  
  3.120148226619e-10  ,2.298540073945e-02  ,4.901038887470e-03  
  5.360444679856e-10  ,2.298570050803e-02  ,8.419768829970e-03  
  9.841037586331e-10  ,2.298660040593e-02  ,1.545580322620e-02  
  1.880222339928e-09  ,2.299308367924e-02  ,2.951729147680e-02  
  3.672459502518e-09  ,2.319624253645e-02  ,5.755896491078e-02  
  5.998903293908e-09  ,2.500664653013e-02  ,9.367373535611e-02  
  9.467148561776e-09  ,3.663090058230e-02  ,1.465268673145e-01  
  1.304454483539e-08  ,6.646249679629e-02  ,1.992159115065e-01  
  1.842013873607e-08  ,1.496145578274e-01  ,2.734620610578e-01  
  2.600631989986e-08  ,3.219055569645e-01  ,3.645522634032e-01  
  3.618381299525e-08  ,5.792176200312e-01  ,4.536353405601e-01  
  4.782161988765e-08  ,8.228772968736e-01  ,4.988295912117e-01  
  6.436190881282e-08  ,9.803732265624e-01  ,4.499638453782e-01  
  6.668611743003e-08  ,9.839431818566e-01  ,4.328598551203e-01  
  6.726716958433e-08  ,9.840967524857e-01  ,4.282195900795e-01  
  6.741243262291e-08  ,9.840828864656e-01  ,4.270371675269e-01  
  6.744874838255e-08  ,9.840761535276e-01  ,4.267401713064e-01  
  6.752137990184e-08  ,9.840587673558e-01  ,4.261445128698e-01  
  6.753953778166e-08  ,9.840536040758e-01  ,4.259952514609e-01  
  6.757585354131e-08  ,9.840422973854e-01  ,4.256963128233e-01  
  6.758493248122e-08  ,9.840392665183e-01  ,4.256214915702e-01  
  6.760309036104e-08  ,9.840329597489e-01  ,4.254717451942e-01  
  6.760762983100e-08  ,9.840313320074e-01  ,4.254342869650e-01  
  6.760876469848e-08  ,9.840309218815e-01  ,4.254249210558e-01  
  6.761103443346e-08  ,9.840300978010e-01  ,4.254061876150e-01  
  6.761160186721e-08  ,9.840298909832e-01  ,4.254015039168e-01  
  6.761273673470e-08  ,9.840294763905e-01  ,4.253921361149e-01  
  6.761500646967e-08  ,9.840286433763e-01  ,4.253733988889e-01  
  6.761507739889e-08  ,9.840286172623e-01  ,4.253728133157e-01  
  6.761521925733e-08  ,9.840285650195e-01  ,4.253716421631e-01  
  6.761525472194e-08  ,9.840285519557e-01  ,4.253713493736e-01  
  6.761532565115e-08  ,9.840285258243e-01  ,4.253707637930e-01  
  6.761546750959e-08  ,9.840284735465e-01  ,4.253695926256e-01  
  6.761575122646e-08  ,9.840283689312e-01  ,4.253672502653e-01  
  6.761631866021e-08  ,9.840281594612e-01  ,4.253625654435e-01  
  6.761745352770e-08  ,9.840277395642e-01  ,4.253531953942e-01  
  6.761972326267e-08  ,9.840268959413e-01  ,4.253344536738e-01  
  6.762426273263e-08  ,9.840251933808e-01  ,4.252969637450e-01  
  6.763334167254e-08  ,9.840217270006e-01  ,4.252219579391e-01  
  6.765149955236e-08  ,9.840145492024e-01  ,4.250718425549e-01  
  6.768781531201e-08  ,9.839992134515e-01  ,4.247711968685e-01  
  6.776044683129e-08  ,9.839646213065e-01  ,4.241682471937e-01  
  6.790570986987e-08  ,9.838797543484e-01  ,4.229557256387e-01  
  6.819623594702e-08  ,9.836472907494e-01  ,4.205042823311e-01  
  6.877728810132e-08  ,9.829314837554e-01  ,4.154965135136e-01  
  6.993939240993e-08  ,9.804972945687e-01  ,4.050673479737e-01  
  7.226360102714e-08  ,9.716383822924e-01  ,3.826041010466e-01  
  7.691201826156e-08  ,9.382896162082e-01  ,3.316913321983e-01  
  8.620885273040e-08  ,8.135560326971e-01  ,2.099166627848e-01  
  1.048025216681e-07  ,3.858494150256e-01  ,-7.515195508683e-02  
  1.248028602225e-07  ,-2.041109196201e-01  ,-3.513569515477e-01  
  1.448031987768e-07  ,-6.867009178155e-01  ,-4.933511415236e-01  
  1.648035373312e-07  ,-9.346881623247e-01  ,-4.468957952304e-01  
  1.673035796505e-07  ,-9.396236480546e-01  ,-4.279240533612e-01  
  1.679285902304e-07  ,-9.397748115245e-01  ,-4.227639379091e-01  
  1.680848428753e-07  ,-9.397446539754e-01  ,-4.214483629076e-01  
  1.681239060365e-07  ,-9.397328553475e-01  ,-4.211178811288e-01  
  1.681336718269e-07  ,-9.397296391693e-01  ,-4.210351615682e-01  
  1.681361132744e-07  ,-9.397288183874e-01  ,-4.210144754854e-01  
  1.681367236363e-07  ,-9.397286121459e-01  ,-4.210093035777e-01  
  1.681379443601e-07  ,-9.397281984074e-01  ,-4.209989592979e-01  
  1.681403858077e-07  ,-9.397273659092e-01  ,-4.209782688808e-01  
  1.681404621029e-07  ,-9.397273397857e-01  ,-4.209776222653e-01  
  1.681406146934e-07  ,-9.397272875192e-01  ,-4.209763290272e-01  
  1.681409198744e-07  ,-9.397271829077e-01  ,-4.209737425219e-01  
  1.681409961696e-07  ,-9.397271567385e-01  ,-4.209730958895e-01  
  1.681410152434e-07  ,-9.397271501951e-01  ,-4.209729342311e-01  
  1.681410533910e-07  ,-9.397271371073e-01  ,-4.209726109137e-01  
  1.681410629279e-07  ,-9.397271338350e-01  ,-4.209725300842e-01  
  1.681410820017e-07  ,-9.397271272903e-01  ,-4.209723684252e-01  
  1.681410867702e-07  ,-9.397271256540e-01  ,-4.209723280105e-01  
  1.681410963071e-07  ,-9.397271223815e-01  ,-4.209722471809e-01  
  1.681411153809e-07  ,-9.397271158360e-01  ,-4.209720855216e-01  
  1.681411535285e-07  ,-9.397271027438e-01  ,-4.209717622026e-01  
  1.681412298238e-07  ,-9.397270765546e-01  ,-4.209711155629e-01  
  1.681413824142e-07  ,-9.397270241565e-01  ,-4.209698222760e-01  
  1.681416875952e-07  ,-9.397269192818e-01  ,-4.209672356734e-01  
  1.681422979571e-07  ,-9.397267092187e-01  ,-4.209620623520e-01  
  1.681435186809e-07  ,-9.397262878370e-01  ,-4.209517152449e-01  
  1.681459601284e-07  ,-9.397254400523e-01  ,-4.209310191735e-01  
  1.681508430236e-07  ,-9.397237243970e-01  ,-4.208896196017e-01  
  1.681606088139e-07  ,-9.397202127412e-01  ,-4.208067907462e-01  
  1.681801403945e-07  ,-9.397128680373e-01  ,-4.206410142153e-01  
  1.682192035558e-07  ,-9.396968929662e-01  ,-4.203089860913e-01  
  1.682973298782e-07  ,-9.396597994945e-01  ,-4.196430313469e-01  
  1.684535825232e-07  ,-9.395650351331e-01  ,-4.183035419334e-01  
  1.687660878131e-07  ,-9.392931874103e-01  ,-4.155943566959e-01  
  1.693910983929e-07  ,-9.384205486583e-01  ,-4.100560795918e-01  
  1.706411195526e-07  ,-9.353683101443e-01  ,-3.985074521869e-01  
  1.731411618719e-07  ,-9.241685934275e-01  ,-3.735854814356e-01  
  1.781412465105e-07  ,-8.827155189980e-01  ,-3.169993288238e-01  
  1.881414157877e-07  ,-7.335117277132e-01  ,-1.819951039465e-01  
  2.081417543420e-07  ,-2.462924437507e-01  ,1.265004204368e-01  
  2.281420928964e-07  ,3.462691502181e-01  ,3.866755021116e-01  
  2.481424314508e-07  ,8.196274102241e-01  ,4.991488498154e-01  
  2.506424737701e-07  ,8.611583448744e-01  ,4.998981559144e-01  
