  Time                 , (V(R3:2))@2          , V(U3:100)            
  0.000000000000e+00  ,2.298513390455e-02  ,0.000000000000e+00  
  2.000000000000e-10  ,2.300347803255e-02  ,3.769886379335e-01  
  2.250000000000e-10  ,2.300605086444e-02  ,4.241114764347e-01  
  2.520898453891e-10  ,2.300904162911e-02  ,4.751731965610e-01  
  3.062695361674e-10  ,2.301576995778e-02  ,5.772955673399e-01  
  4.146289177239e-10  ,2.303167150316e-02  ,7.815349954823e-01  
  6.313476808369e-10  ,2.307140548324e-02  ,1.189984314239e+00  
  1.064785207063e-09  ,2.318449640564e-02  ,2.006698537805e+00  
  1.510609323531e-09  ,2.341028960846e-02  ,2.846362788541e+00  
  1.956805969030e-09  ,2.385735261799e-02  ,3.686169559269e+00  
  2.047179183364e-09  ,2.399213320521e-02  ,3.856182182181e+00  
  2.227925612032e-09  ,2.433876299029e-02  ,4.196112805912e+00  
  2.273112219200e-09  ,2.444355140596e-02  ,4.281074749883e+00  
  2.284408870991e-09  ,2.447107933375e-02  ,4.302313894557e+00  
  2.307002174575e-09  ,2.452783492480e-02  ,4.344790555597e+00  
  2.352188781742e-09  ,2.464850696175e-02  ,4.429737289546e+00  
  2.353600863216e-09  ,2.465243228316e-02  ,4.432391732032e+00  
  2.353953883584e-09  ,2.465341508967e-02  ,4.433055341290e+00  
  2.354659924321e-09  ,2.465538254644e-02  ,4.434382558172e+00  
  2.356072005795e-09  ,2.465932484649e-02  ,4.437036985390e+00  
  2.356116133341e-09  ,2.465944820207e-02  ,4.437119936100e+00  
  2.356204388434e-09  ,2.465969494213e-02  ,4.437285837494e+00  
  2.356226452207e-09  ,2.465975663316e-02  ,4.437327312837e+00  
  2.356270579753e-09  ,2.465988002246e-02  ,4.437410263517e+00  
  2.356281611639e-09  ,2.465991087129e-02  ,4.437431001186e+00  
  2.356284369611e-09  ,2.465991858360e-02  ,4.437436185603e+00  
  2.356289885554e-09  ,2.465993400831e-02  ,4.437446554437e+00  
  2.356300917441e-09  ,2.465996485820e-02  ,4.437467292105e+00  
  2.356322981214e-09  ,2.466002655977e-02  ,4.437508767439e+00  
  2.356367108760e-09  ,2.466014997015e-02  ,4.437591718100e+00  
  2.356378140646e-09  ,2.466018082425e-02  ,4.437612455764e+00  
  2.356400204419e-09  ,2.466024253426e-02  ,4.437653931090e+00  
  2.356444331965e-09  ,2.466036596151e-02  ,4.437736881737e+00  
  2.356532587057e-09  ,2.466061284492e-02  ,4.437902783004e+00  
  2.356709097242e-09  ,2.466110672744e-02  ,4.438234585437e+00  
  2.357062117610e-09  ,2.466209495542e-02  ,4.438898189892e+00  
  2.357768158347e-09  ,2.466407326454e-02  ,4.440225397164e+00  
  2.359180239821e-09  ,2.466803730641e-02  ,4.442879805154e+00  
  2.362004402769e-09  ,2.467599517267e-02  ,4.448188594899e+00  
  2.367652728665e-09  ,2.469203074220e-02  ,4.458806069300e+00  
  2.378949380457e-09  ,2.472458692989e-02  ,4.480040596576e+00  
  2.401542684040e-09  ,2.479168582799e-02  ,4.522507955668e+00  
  2.446729291207e-09  ,2.493421204356e-02  ,4.607435817121e+00  
  2.537102505542e-09  ,2.525582770673e-02  ,4.777263514122e+00  
  2.717848934210e-09  ,2.607446022274e-02  ,5.116802013585e+00  
  3.079341791547e-09  ,2.869887452528e-02  ,5.795373123936e+00  
  3.802327506221e-09  ,4.101749245324e-02  ,7.150185606689e+00  
  4.826223544753e-09  ,8.929086587056e-02  ,9.062401553547e+00  
  6.414873592533e-09  ,3.062414010983e-01  ,1.201006879816e+01  
  8.453352443851e-09  ,1.001272564138e+00  ,1.574755387106e+01  
  8.506653198949e-09  ,1.026993098928e+00  ,1.584447915169e+01  
  8.613254709146e-09  ,1.079800845271e+00  ,1.603819616112e+01  
  8.826457729540e-09  ,1.190952575380e+00  ,1.642508837094e+01  
  9.252863770328e-09  ,1.435785405760e+00  ,1.719664484814e+01  
  9.333621079079e-09  ,1.485554148354e+00  ,1.734242705452e+01  
  9.495135696582e-09  ,1.588376685327e+00  ,1.763365564571e+01  
  9.818164931587e-09  ,1.807254304585e+00  ,1.821474331341e+01  
  1.046422340160e-08  ,2.296968472015e+00  ,1.937123138799e+01  
  1.161664195543e-08  ,3.295318816936e+00  ,2.141401908753e+01  
  1.280724473482e-08  ,4.417138418288e+00  ,2.349498609115e+01  
  1.415263332611e-08  ,5.724612239363e+00  ,2.580678791105e+01  
  1.537396975046e-08  ,6.916323000790e+00  ,2.786562071803e+01  
  1.658748306518e-08  ,8.071869872282e+00  ,2.987064645967e+01  
  1.795466460472e-08  ,9.260735472738e+00  ,3.207742289790e+01  
  1.853590302353e-08  ,9.720585582657e+00  ,3.299791188241e+01  
  1.923113532548e-08  ,1.023915341648e+01  ,3.408445271997e+01  
  1.986424841171e-08  ,1.068388837089e+01  ,3.505977915055e+01  
  2.023682400768e-08  ,1.093483260653e+01  ,3.562728311844e+01  
  2.061647765522e-08  ,1.118266697726e+01  ,3.620054686793e+01  
  2.101517684942e-08  ,1.143459696757e+01  ,3.679702354571e+01  
  2.145834669655e-08  ,1.170499584128e+01  ,3.745325207561e+01  
  2.196582436746e-08  ,1.200255348219e+01  ,3.819578123474e+01  
  2.235809743588e-08  ,1.222405034473e+01  ,3.876310295290e+01  
  2.273416549151e-08  ,1.242958715564e+01  ,3.930146223297e+01  
  2.333905950373e-08  ,1.274690121830e+01  ,4.015585692269e+01  
  2.386777132934e-08  ,1.301145999068e+01  ,4.089078058249e+01  
  2.440710023230e-08  ,1.326941909112e+01  ,4.162883765741e+01  
  2.499355405753e-08  ,1.353709259086e+01  ,4.241781443099e+01  
  2.558010101502e-08  ,1.379197996090e+01  ,4.319251501409e+01  
  2.643226117080e-08  ,1.414075032413e+01  ,4.429183188550e+01  
  2.723385051077e-08  ,1.444652612727e+01  ,4.529695182306e+01  
  2.855781868284e-08  ,1.490887794615e+01  ,4.689388963111e+01  
  3.027107969110e-08  ,1.543732598451e+01  ,4.883959829910e+01  
  3.181744769400e-08  ,1.585351559192e+01  ,5.047446382228e+01  
  3.491018369978e-08  ,1.653918567662e+01  ,5.338331826117e+01  
  3.956456139868e-08  ,1.730130489163e+01  ,5.680442399172e+01  
  4.887331679647e-08  ,1.816415086486e+01  ,5.996241805117e+01  
  5.734611705130e-08  ,1.855383056258e+01  ,5.840922694991e+01  
  6.666679337805e-08  ,1.871285461152e+01  ,5.196140480399e+01  
  7.354740455931e-08  ,1.877341671089e+01  ,4.431767914599e+01  
  8.051965788191e-08  ,1.880195337177e+01  ,3.446999263400e+01  
  8.203808620756e-08  ,1.880616320600e+01  ,3.208896971419e+01  
  8.507494285887e-08  ,1.881298808923e+01  ,2.711348749313e+01  
  8.583415702169e-08  ,1.881442836944e+01  ,2.582926443151e+01  
  8.735258534735e-08  ,1.881704601719e+01  ,2.321747726807e+01  
  9.038944199865e-08  ,1.882132344761e+01  ,1.784149702045e+01  
  9.114865616148e-08  ,1.882210910116e+01  ,1.647020064667e+01  
  9.266708448713e-08  ,1.882305243852e+01  ,1.370028544098e+01  
  9.296743601745e-08  ,1.882314041397e+01  ,1.314849101604e+01  
  9.304252390002e-08  ,1.882315406297e+01  ,1.301035757220e+01  
  9.319269966518e-08  ,1.882317222166e+01  ,1.273387425864e+01  
  9.349305119549e-08  ,1.882316880073e+01  ,1.218006347575e+01  
  9.409375425612e-08  ,1.882296846830e+01  ,1.106923799272e+01  
  9.424393002128e-08  ,1.882287284384e+01  ,1.079090018869e+01  
  9.454428155159e-08  ,1.882261352915e+01  ,1.023351020908e+01  
  9.461936943417e-08  ,1.882253420819e+01  ,1.009401840959e+01  
  9.476954519933e-08  ,1.882235601312e+01  ,9.814867077565e+00  
  9.506989672964e-08  ,1.882191426679e+01  ,9.255915235098e+00  
  9.567059979027e-08  ,1.882061362226e+01  ,8.135589113911e+00  
  9.582077555542e-08  ,1.882019086135e+01  ,7.855039269397e+00  
  9.612112708574e-08  ,1.881919393592e+01  ,7.293421301419e+00  
  9.672183014636e-08  ,1.881635691878e+01  ,6.168287337488e+00  
  9.685393825357e-08  ,1.881555308938e+01  ,5.920536417653e+00  
  9.711815446799e-08  ,1.881366213730e+01  ,5.424732904340e+00  
  9.718420852160e-08  ,1.881312439226e+01  ,5.300722290797e+00  
  9.720072203500e-08  ,1.881298531746e+01  ,5.269716049955e+00  
  9.723374906180e-08  ,1.881270129679e+01  ,5.207699321739e+00  
  9.724200581850e-08  ,1.881262905779e+01  ,5.192194261076e+00  
  9.724407000768e-08  ,1.881261092058e+01  ,5.188317941282e+00  
