  Time                 , V(R3:2)              , V(U3:100)            
  0.000000000000e+00  ,2.298513390455e-02  ,0.000000000000e+00  
  2.000000000000e-10  ,2.298522562519e-02  ,1.884943189668e-03  
  3.753913238645e-10  ,2.298534145351e-02  ,3.537897865353e-03  
  7.261739715934e-10  ,2.298567433397e-02  ,6.843434793316e-03  
  1.427739267051e-09  ,2.298711579842e-02  ,1.345161406032e-02  
  2.830869857967e-09  ,2.301953469622e-02  ,2.664516318914e-02  
  5.637131039798e-09  ,2.420414738484e-02  ,5.285143195696e-02  
  9.068123404682e-09  ,3.019615276580e-02  ,8.431369426721e-02  
  1.411514670104e-08  ,5.702246769267e-02  ,1.287148969281e-01  
  1.906382233351e-08  ,1.054547729011e-01  ,1.691221724012e-01  
  2.896117359847e-08  ,2.449787193970e-01  ,2.368220462166e-01  
  3.814177901000e-08  ,3.845615254606e-01  ,2.794220784099e-01  
  5.453603655547e-08  ,5.589459678587e-01  ,2.969590517822e-01  
  5.645642370433e-08  ,5.712484102611e-01  ,2.938498519973e-01  
  6.029719800204e-08  ,5.897461512288e-01  ,2.844389669324e-01  
  6.125739157647e-08  ,5.930872176839e-01  ,2.814332813012e-01  
  6.317777872533e-08  ,5.982006524377e-01  ,2.746566658020e-01  
  6.701855302304e-08  ,6.020504573707e-01  ,2.581335542174e-01  
  6.713857721984e-08  ,6.020332556818e-01  ,2.575553247369e-01  
  6.716858326904e-08  ,6.020276476798e-01  ,2.574101948714e-01  
  6.717608478134e-08  ,6.020261639541e-01  ,2.573738766593e-01  
  6.719108780595e-08  ,6.020230984318e-01  ,2.573011973543e-01  
  6.722109385515e-08  ,6.020165751010e-01  ,2.571556672777e-01  
  6.722203154418e-08  ,6.020163628189e-01  ,2.571511157800e-01  
  6.722226596644e-08  ,6.020163096686e-01  ,2.571499778707e-01  
  6.722273481096e-08  ,6.020162032721e-01  ,2.571477020103e-01  
  6.722285202209e-08  ,6.020161766531e-01  ,2.571471330365e-01  
  6.722288132487e-08  ,6.020161699971e-01  ,2.571469907925e-01  
  6.722293993044e-08  ,6.020161566835e-01  ,2.571467063038e-01  
  6.722295458183e-08  ,6.020161533548e-01  ,2.571466351815e-01  
  6.722298388461e-08  ,6.020161466971e-01  ,2.571464929368e-01  
  6.722299121031e-08  ,6.020161450326e-01  ,2.571464573755e-01  
  6.722300586170e-08  ,6.020161417034e-01  ,2.571463862530e-01  
  6.722303516448e-08  ,6.020161350448e-01  ,2.571462440079e-01  
  6.722309377005e-08  ,6.020161217260e-01  ,2.571459595170e-01  
  6.722321098118e-08  ,6.020160950825e-01  ,2.571453905325e-01  
  6.722344540344e-08  ,6.020160417716e-01  ,2.571442525530e-01  
  6.722391424795e-08  ,6.020159350539e-01  ,2.571419765522e-01  
  6.722485193699e-08  ,6.020157212354e-01  ,2.571374243834e-01  
  6.722672731507e-08  ,6.020152920661e-01  ,2.571283193762e-01  
  6.723047807122e-08  ,6.020144275979e-01  ,2.571101066842e-01  
  6.723797958352e-08  ,6.020126741434e-01  ,2.570736705909e-01  
  6.725298260812e-08  ,6.020090691621e-01  ,2.570007555734e-01  
