  Time                 , (V(R3:2))@1          , V(U3:100)            
  0.000000000000e+00  ,2.298513390455e-02  ,0.000000000000e+00  
  2.000000000000e-10  ,2.301570745122e-02  ,6.283143965559e-01  
  2.250000000000e-10  ,2.301999550436e-02  ,7.068524607246e-01  
  2.511614331976e-10  ,2.302480064048e-02  ,7.890387258126e-01  
  3.034842995927e-10  ,2.303557791455e-02  ,9.534096014949e-01  
  4.081300323829e-10  ,2.306104969325e-02  ,1.282143180448e+00  
  6.174214979634e-10  ,2.312413354201e-02  ,1.939565213645e+00  
  1.036004429124e-09  ,2.330150899030e-02  ,3.254129310795e+00  
  1.519640242122e-09  ,2.366242836115e-02  ,4.772277314190e+00  
  1.995266680978e-09  ,2.458295095045e-02  ,6.264211066163e+00  
  2.066175253503e-09  ,2.477375595490e-02  ,6.486523689849e+00  
  2.207992398553e-09  ,2.523635789020e-02  ,6.931051266814e+00  
  2.243446684815e-09  ,2.537055412170e-02  ,7.042162008785e+00  
  2.314355257340e-09  ,2.566599272157e-02  ,7.264357145048e+00  
  2.332082400471e-09  ,2.574566764253e-02  ,7.319900339512e+00  
  2.336514186254e-09  ,2.576595968989e-02  ,7.333785784067e+00  
  2.337622132699e-09  ,2.577105630271e-02  ,7.337257123003e+00  
  2.339838025591e-09  ,2.578127919403e-02  ,7.344199774204e+00  
  2.340391998814e-09  ,2.578384110580e-02  ,7.345935431444e+00  
  2.341499945259e-09  ,2.578897237812e-02  ,7.349406739249e+00  
  2.341776931871e-09  ,2.579025674876e-02  ,7.350274564810e+00  
  2.341846178524e-09  ,2.579057793850e-02  ,7.350491521113e+00  
  2.341984671829e-09  ,2.579122043454e-02  ,7.350925433615e+00  
  2.342261658441e-09  ,2.579250589317e-02  ,7.351793258201e+00  
  2.342270314272e-09  ,2.579254607378e-02  ,7.351820377710e+00  
  2.342287625936e-09  ,2.579262643682e-02  ,7.351874616727e+00  
  2.342322249262e-09  ,2.579278717018e-02  ,7.351983094755e+00  
  2.342330905094e-09  ,2.579282735504e-02  ,7.352010214260e+00  
  2.342331175588e-09  ,2.579282861083e-02  ,7.352011061745e+00  
  2.342331716578e-09  ,2.579283112240e-02  ,7.352012756714e+00  
  2.342332798557e-09  ,2.579283614556e-02  ,7.352016146652e+00  
  2.342334962515e-09  ,2.579284619190e-02  ,7.352022926528e+00  
  2.342339290431e-09  ,2.579286628470e-02  ,7.352036486281e+00  
  2.342340372410e-09  ,2.579287130793e-02  ,7.352039876219e+00  
  2.342342536367e-09  ,2.579288135440e-02  ,7.352046656095e+00  
  2.342346864283e-09  ,2.579290144747e-02  ,7.352060215847e+00  
  2.342355520115e-09  ,2.579294163406e-02  ,7.352087335351e+00  
  2.342372831778e-09  ,2.579302200906e-02  ,7.352141574358e+00  
