  Time                 , V(R3:2)              , V(U3:100)            
  0.000000000000e+00  ,2.298513390455e-02  ,0.000000000000e+00  
  2.000000000000e-10  ,2.298525619874e-02  ,2.513257586224e-03  
  3.357868313789e-10  ,2.298537031096e-02  ,4.219543509253e-03  
  6.073604941368e-10  ,2.298568066326e-02  ,7.631853949538e-03  
  1.150507819653e-09  ,2.298679091954e-02  ,1.445455991747e-02  
  2.236802470684e-09  ,2.299952905153e-02  ,2.808536105326e-02  
  4.409391772747e-09  ,2.341142498180e-02  ,5.523300862287e-02  
  7.267807018757e-09  ,2.678772288804e-02  ,9.053848298958e-02  
  1.144013215303e-08  ,4.509337579955e-02  ,1.406859331428e-01  
  1.523247767687e-08  ,8.063009055923e-02  ,1.841943205389e-01  
  2.281716872454e-08  ,1.990998073774e-01  ,2.627969927362e-01  
  3.080717135668e-08  ,3.602842027730e-01  ,3.294641517919e-01  
  4.405728389025e-08  ,6.065216050679e-01  ,3.930491505116e-01  
  6.007901240587e-08  ,7.771971181468e-01  ,3.801146121175e-01  
  6.232424486876e-08  ,7.869970816331e-01  ,3.703913716512e-01  
  6.681470979452e-08  ,7.949784862280e-01  ,3.454762358721e-01  
  6.695503682345e-08  ,7.949780850590e-01  ,3.445840878005e-01  
  6.723569088131e-08  ,7.949313888185e-01  ,3.427797182825e-01  
  6.724446132062e-08  ,7.949289434117e-01  ,3.427229016228e-01  
  6.726200219924e-08  ,7.949238729563e-01  ,3.426091902517e-01  
  6.726255035169e-08  ,7.949237106450e-01  ,3.426056350947e-01  
  6.726364665661e-08  ,7.949233853204e-01  ,3.425985244760e-01  
  6.726392073283e-08  ,7.949233038430e-01  ,3.425967467578e-01  
  6.726446888529e-08  ,7.949231407126e-01  ,3.425931912452e-01  
  6.726460592341e-08  ,7.949230998935e-01  ,3.425923023512e-01  
  6.726464018293e-08  ,7.949230896864e-01  ,3.425920801267e-01  
  6.726470870199e-08  ,7.949230692695e-01  ,3.425916356766e-01  
  6.726484574011e-08  ,7.949230284248e-01  ,3.425907467714e-01  
  6.726487999963e-08  ,7.949230182113e-01  ,3.425905245442e-01  
  6.726494851869e-08  ,7.949229977816e-01  ,3.425900800884e-01  
  6.726496564846e-08  ,7.949229926736e-01  ,3.425899689742e-01  
  6.726499990798e-08  ,7.949229824569e-01  ,3.425897467456e-01  
  6.726506842704e-08  ,7.949229620209e-01  ,3.425893022871e-01  
  6.726520546516e-08  ,7.949229211377e-01  ,3.425884133653e-01  
  6.726547954138e-08  ,7.949228393276e-01  ,3.425866355026e-01  
  6.726602769384e-08  ,7.949226755317e-01  ,3.425830797012e-01  
  6.726712399875e-08  ,7.949223472380e-01  ,3.425759677934e-01  
  6.726931660858e-08  ,7.949216878424e-01  ,3.425617427589e-01  
  6.727370182824e-08  ,7.949203578184e-01  ,3.425332878137e-01  
  6.728247226754e-08  ,7.949176528392e-01  ,3.424763584205e-01  
  6.730001314616e-08  ,7.949120631582e-01  ,3.423624216386e-01  
  6.733509490339e-08  ,7.949001649156e-01  ,3.421342362135e-01  
  6.740525841786e-08  ,7.948734929714e-01  ,3.416766188886e-01  
  6.754558544679e-08  ,7.948086474511e-01  ,3.407564061332e-01  
  6.782623950465e-08  ,7.946329475228e-01  ,3.388961309629e-01  
  6.838754762037e-08  ,7.940974668215e-01  ,3.350966908322e-01  
  6.951016385181e-08  ,7.922903559169e-01  ,3.271864290482e-01  
  7.175539631469e-08  ,7.857463383532e-01  ,3.101554794586e-01  
  7.624586124046e-08  ,7.611721754542e-01  ,2.715584874341e-01  
  8.522679109199e-08  ,6.689854396911e-01  ,1.790522962203e-01  
  1.031886507951e-07  ,3.484059167806e-01  ,-4.000278515373e-02  
  1.231889893494e-07  ,-1.206453578616e-01  ,-2.663015196999e-01  
  1.431893279038e-07  ,-5.387779337926e-01  ,-3.908787952863e-01  
  1.631896664582e-07  ,-7.424451067235e-01  ,-3.661487692180e-01  
  1.656897087775e-07  ,-7.477457918372e-01  ,-3.523844587050e-01  
  1.663147193573e-07  ,-7.482822340345e-01  ,-3.486002922136e-01  
  1.664709720023e-07  ,-7.483670360760e-01  ,-3.476331929904e-01  
  1.667834772922e-07  ,-7.484774593193e-01  ,-3.456738878393e-01  
