  Time                 , V(R3:2)              , V(U3:100)            
  0.000000000000e+00  ,2.298513390455e-02  ,0.000000000000e+00  
  2.000000000000e-10  ,2.298534791938e-02  ,4.398200775891e-03  
  2.848667696118e-10  ,2.298546381706e-02  ,6.264463832749e-03  
  4.546003088355e-10  ,2.298575638651e-02  ,9.996843088687e-03  
  7.940673872828e-10  ,2.298657067428e-02  ,1.746064274009e-02  
  1.473001544178e-09  ,2.298995213626e-02  ,3.238143576471e-02  
  2.830869857967e-09  ,2.306107796662e-02  ,6.217204744132e-02  
  4.773608748615e-09  ,2.395241716479e-02  ,1.045840886079e-01  
  7.469973866642e-09  ,3.023520148444e-02  ,1.627696173263e-01  
  1.134576589316e-08  ,6.040600806802e-02  ,2.442566732803e-01  
  1.506174296588e-08  ,1.204935485160e-01  ,3.190025587453e-01  
  2.249369711131e-08  ,3.210493904991e-01  ,4.545082267506e-01  
  3.060439914912e-08  ,6.059751263499e-01  ,5.740218494706e-01  
  4.134217590541e-08  ,9.681304336898e-01  ,6.742660644382e-01  
  5.328992695063e-08  ,1.255492148870e+00  ,6.962644577451e-01  
  5.537310928553e-08  ,1.289353471974e+00  ,6.900508113468e-01  
  5.953947395533e-08  ,1.340490012044e+00  ,6.687993461381e-01  
  6.058106512278e-08  ,1.349796826672e+00  ,6.616801516495e-01  
  6.266424745768e-08  ,1.364098509745e+00  ,6.453248205363e-01  
  6.683061212748e-08  ,1.375263638886e+00  ,6.044070753813e-01  
  6.696081102341e-08  ,1.375236556403e+00  ,6.029576594489e-01  
  6.699336074740e-08  ,1.375226216114e+00  ,6.025937282812e-01  
  6.705846019536e-08  ,1.375201252822e+00  ,6.018639759858e-01  
  6.707473505735e-08  ,1.375194119793e+00  ,6.016811444485e-01  
  6.710728478134e-08  ,1.375178783174e+00  ,6.013150095520e-01  
  6.711542221233e-08  ,1.375174725988e+00  ,6.012233775666e-01  
  6.711745657008e-08  ,1.375173697753e+00  ,6.012004634305e-01  
  6.711796515952e-08  ,1.375173439823e+00  ,6.011947345128e-01  
  6.711898233839e-08  ,1.375172922918e+00  ,6.011832762169e-01  
  6.711923663311e-08  ,1.375172793473e+00  ,6.011804115470e-01  
  6.711974522255e-08  ,1.375172534324e+00  ,6.011746820921e-01  
  6.711987236991e-08  ,1.375172469482e+00  ,6.011732497044e-01  
  6.712012666463e-08  ,1.375172339733e+00  ,6.011703849003e-01  
  6.712013461134e-08  ,1.375172335677e+00  ,6.011702953745e-01  
  6.712015050476e-08  ,1.375172327564e+00  ,6.011701163229e-01  
  6.712018229160e-08  ,1.375172311339e+00  ,6.011697582192e-01  
  6.712024586528e-08  ,1.375172278883e+00  ,6.011690420101e-01  
  6.712037301264e-08  ,1.375172213955e+00  ,6.011676095846e-01  
  6.712040479948e-08  ,1.375172197720e+00  ,6.011672514768e-01  
  6.712046837316e-08  ,1.375172165245e+00  ,6.011665352592e-01  
  6.712059552051e-08  ,1.375172100280e+00  ,6.011651028170e-01  
  6.712084981523e-08  ,1.375171970283e+00  ,6.011622379037e-01  
  6.712135840467e-08  ,1.375171710028e+00  ,6.011565079620e-01  
  6.712237558354e-08  ,1.375171188473e+00  ,6.011450476182e-01  
  6.712440994129e-08  ,1.375170141181e+00  ,6.011221250891e-01  
  6.712847865679e-08  ,1.375168029870e+00  ,6.010762726648e-01  
  6.713661608779e-08  ,1.375163740344e+00  ,6.009845383547e-01  
  6.715289094978e-08  ,1.375154893678e+00  ,6.008009519098e-01  
  6.718544067376e-08  ,1.375136129919e+00  ,6.004333078886e-01  
  6.725054012173e-08  ,1.375094320921e+00  ,5.996961366674e-01  
  6.738073901766e-08  ,1.374993578557e+00  ,5.982142723152e-01  
  6.764113680952e-08  ,1.374723605435e+00  ,5.952205429658e-01  
  6.816193239325e-08  ,1.373909758592e+00  ,5.891137864060e-01  
  6.920352356070e-08  ,1.371187327469e+00  ,5.764288587557e-01  
  7.128670589560e-08  ,1.361381275311e+00  ,5.492217506200e-01  
  7.545307056540e-08  ,1.324583594391e+00  ,4.878795573511e-01  
  8.378579990499e-08  ,1.185738626711e+00  ,3.413477533142e-01  
  1.004512585842e-07  ,6.933996471784e-01  ,-9.923362165108e-03  
  1.204515971386e-07  ,-1.141528340921e-01  ,-4.194424601826e-01  
  1.404519356930e-07  ,-8.766485809099e-01  ,-6.687435502536e-01  
  1.604522742473e-07  ,-1.273223069608e+00  ,-6.625989722775e-01  
  1.629523165666e-07  ,-1.295527031521e+00  ,-6.428439716256e-01  
  1.679524012052e-07  ,-1.313402592212e+00  ,-5.915897647004e-01  
  1.681086538502e-07  ,-1.313382968202e+00  ,-5.897457902381e-01  
  1.681477170114e-07  ,-1.313372527455e+00  ,-5.892825744420e-01  
  1.682258433339e-07  ,-1.313345002751e+00  ,-5.883534811121e-01  
  1.682453749145e-07  ,-1.313336737501e+00  ,-5.881206537609e-01  
  1.682502578097e-07  ,-1.313334584682e+00  ,-5.880624123209e-01  
  1.682600236000e-07  ,-1.313330175222e+00  ,-5.879458879277e-01  
  1.682624650476e-07  ,-1.313329051228e+00  ,-5.879167481819e-01  
  1.682673479427e-07  ,-1.313326777284e+00  ,-5.878584583144e-01  
  1.682685686665e-07  ,-1.313326203390e+00  ,-5.878438836860e-01  
  1.682710101141e-07  ,-1.313325049114e+00  ,-5.878147318355e-01  
  1.682716204760e-07  ,-1.313324759193e+00  ,-5.878074433325e-01  
  1.682728411998e-07  ,-1.313324177729e+00  ,-5.877928656783e-01  
  1.682731463807e-07  ,-1.313324032025e+00  ,-5.877892211296e-01  
  1.682737567426e-07  ,-1.313323740211e+00  ,-5.877819318702e-01  
  1.682739093331e-07  ,-1.313323667173e+00  ,-5.877801095216e-01  
  1.682742145140e-07  ,-1.313323520996e+00  ,-5.877764647839e-01  
  1.682742908093e-07  ,-1.313323484431e+00  ,-5.877755535910e-01  
  1.682744433997e-07  ,-1.313323411274e+00  ,-5.877737311951e-01  
  1.682744481682e-07  ,-1.313323408988e+00  ,-5.877736742450e-01  
  1.682744577051e-07  ,-1.313323404414e+00  ,-5.877735603448e-01  
  1.682744767789e-07  ,-1.313323395267e+00  ,-5.877733325442e-01  
  1.682745149265e-07  ,-1.313323376971e+00  ,-5.877728769424e-01  
  1.682745244634e-07  ,-1.313323372396e+00  ,-5.877727630418e-01  
  1.682745435372e-07  ,-1.313323363247e+00  ,-5.877725352405e-01  
  1.682745483057e-07  ,-1.313323360960e+00  ,-5.877724782901e-01  
  1.682745578426e-07  ,-1.313323356385e+00  ,-5.877723643893e-01  
  1.682745602268e-07  ,-1.313323355241e+00  ,-5.877723359141e-01  
  1.682745649953e-07  ,-1.313323352954e+00  ,-5.877722789637e-01  
  1.682745745322e-07  ,-1.313323348379e+00  ,-5.877721650628e-01  
  1.682745936060e-07  ,-1.313323339228e+00  ,-5.877719372610e-01  
  1.682746317536e-07  ,-1.313323320926e+00  ,-5.877714816566e-01  
  1.682747080488e-07  ,-1.313323284314e+00  ,-5.877705704452e-01  
  1.682748606393e-07  ,-1.313323211065e+00  ,-5.877687480124e-01  
  1.682751658203e-07  ,-1.313323064467e+00  ,-5.877651031062e-01  
  1.682757761822e-07  ,-1.313322770864e+00  ,-5.877578131318e-01  
  1.682769969060e-07  ,-1.313322182036e+00  ,-5.877432325346e-01  
  1.682794383535e-07  ,-1.313320997891e+00  ,-5.877140687471e-01  
  1.682843212487e-07  ,-1.313318603645e+00  ,-5.876557307997e-01  
  1.682940870390e-07  ,-1.313313711322e+00  ,-5.875390134206e-01  
  1.683136186196e-07  ,-1.313303511347e+00  ,-5.873054127634e-01  
  1.683526817809e-07  ,-1.313281449984e+00  ,-5.868375481609e-01  
  1.684308081033e-07  ,-1.313230680876e+00  ,-5.858991682720e-01  
  1.685870607483e-07  ,-1.313102551634e+00  ,-5.840118255711e-01  
  1.688995660382e-07  ,-1.312739891580e+00  ,-5.801949680968e-01  
  1.695245766180e-07  ,-1.311588794827e+00  ,-5.723938595518e-01  
  1.707745977777e-07  ,-1.307584698108e+00  ,-5.561327065187e-01  
  1.732746400970e-07  ,-1.292819245031e+00  ,-5.210641610814e-01  
  1.782747247356e-07  ,-1.237108790269e+00  ,-4.415251668531e-01  
  1.882748940128e-07  ,-1.031230282982e+00  ,-2.520569300487e-01  
  2.082752325671e-07  ,-3.489994447959e-01  ,1.799388645293e-01  
