  Time                 , V(R3:2)              , V(U3:100)            
  0.000000000000e+00  ,2.298513390455e-02  ,0.000000000000e+00  
  2.000000000000e-10  ,2.299736332322e-02  ,2.513257586224e-01  
  2.250000000000e-10  ,2.299907854448e-02  ,2.827409842898e-01  
  2.532510882244e-10  ,2.300116247748e-02  ,3.182413458509e-01  
  3.097532646731e-10  ,2.300586823661e-02  ,3.892412889570e-01  
  4.227576175705e-10  ,2.301706596884e-02  ,5.312372721198e-01  
  6.487663233653e-10  ,2.304503524645e-02  ,8.152073626137e-01  
  1.100783734955e-09  ,2.312628370490e-02  ,1.383009936932e+00  
  1.691149115004e-09  ,2.335406665710e-02  ,2.124161016292e+00  
  2.258883356489e-09  ,2.396456341480e-02  ,2.836214605410e+00  
  2.269845314231e-09  ,2.398226700781e-02  ,2.849954967782e+00  
  2.291769229714e-09  ,2.401871685047e-02  ,2.877434676904e+00  
  2.335617060680e-09  ,2.409600281736e-02  ,2.932389987028e+00  
  2.336987305398e-09  ,2.409851252239e-02  ,2.934107251351e+00  
  2.339727794833e-09  ,2.410354970558e-02  ,2.937541763683e+00  
  2.340412917192e-09  ,2.410481276896e-02  ,2.938400388365e+00  
  2.340584197782e-09  ,2.410512877040e-02  ,2.938615044323e+00  
  2.340926758961e-09  ,2.410576105669e-02  ,2.939044355983e+00  
  2.341012399256e-09  ,2.410591918731e-02  ,2.939151683845e+00  
  2.341183679846e-09  ,2.410623551945e-02  ,2.939366339505e+00  
  2.341226499993e-09  ,2.410631461725e-02  ,2.939420003406e+00  
  2.341237205030e-09  ,2.410633439263e-02  ,2.939433419381e+00  
  2.341258615104e-09  ,2.410637394449e-02  ,2.939460251329e+00  
  2.341301435251e-09  ,2.410645305263e-02  ,2.939513915222e+00  
  2.341312140288e-09  ,2.410647283059e-02  ,2.939527331194e+00  
  2.341314816547e-09  ,2.410647777514e-02  ,2.939530685187e+00  
  2.341320169065e-09  ,2.410648766431e-02  ,2.939537393173e+00  
  2.341330874102e-09  ,2.410650744291e-02  ,2.939550809145e+00  
  2.341352284176e-09  ,2.410654700123e-02  ,2.939577641087e+00  
  2.341395104323e-09  ,2.410662612231e-02  ,2.939631304968e+00  
  2.341480744618e-09  ,2.410678438220e-02  ,2.939738632713e+00  
  2.341652025208e-09  ,2.410710097292e-02  ,2.939953288140e+00  
  2.341994586387e-09  ,2.410773443828e-02  ,2.940382598739e+00  
  2.342679708746e-09  ,2.410900250536e-02  ,2.941241218916e+00  
  2.344049953464e-09  ,2.411154319163e-02  ,2.942958455180e+00  
  2.346790442899e-09  ,2.411664282482e-02  ,2.946392911346e+00  
  2.352271421770e-09  ,2.412691555301e-02  ,2.953261758131e+00  
  2.363233379512e-09  ,2.414775823920e-02  ,2.966999188812e+00  
  2.385157294995e-09  ,2.419066003641e-02  ,2.994472992908e+00  
  2.429005125961e-09  ,2.428155638377e-02  ,3.049416326417e+00  
  2.516700787893e-09  ,2.448564939331e-02  ,3.159285529822e+00  
  2.692092111758e-09  ,2.500033019924e-02  ,3.378951163644e+00  
  3.042874759486e-09  ,2.662493891864e-02  ,3.817968001002e+00  
  3.744440054944e-09  ,3.410611739452e-02  ,4.694557423145e+00  
  4.772061383775e-09  ,6.477593099953e-02  ,5.974310976550e+00  
  6.429629302076e-09  ,2.150601343281e-01  ,8.024878971177e+00  
  6.684671989134e-09  ,2.525221929755e-01  ,8.338598020775e+00  
  7.194757363251e-09  ,3.435007654295e-01  ,8.964410043987e+00  
  8.214928111485e-09  ,5.990235617759e-01  ,1.020896809783e+01  
  1.025526960795e-08  ,1.461505625641e+00  ,1.266536012969e+01  
  1.031903027972e-08  ,1.496490625365e+00  ,1.274133613461e+01  
  1.044655162325e-08  ,1.568068782305e+00  ,1.289313446938e+01  
  1.070159431030e-08  ,1.717712931518e+00  ,1.319610791597e+01  
  1.121167968442e-08  ,2.043301880553e+00  ,1.379949391217e+01  
  1.191073040893e-08  ,2.546711279985e+00  ,1.462062249753e+01  
  1.320154349735e-08  ,3.630917507541e+00  ,1.611803262599e+01  
  1.352424676945e-08  ,3.929177814950e+00  ,1.648833946705e+01  
  1.416965331366e-08  ,4.540714962870e+00  ,1.722383131760e+01  
  1.546046640207e-08  ,5.792332729568e+00  ,1.867327321345e+01  
  1.636506001880e-08  ,6.671613339525e+00  ,1.967087474642e+01  
  1.736399661233e-08  ,7.627024500337e+00  ,2.075403017534e+01  
  1.832921932866e-08  ,8.500838486171e+00  ,2.178122545055e+01  
  1.898813005020e-08  ,9.061079819463e+00  ,2.247099663628e+01  
  1.955903078844e-08  ,9.521178865570e+00  ,2.306086106812e+01  
  2.011810372998e-08  ,9.949733312257e+00  ,2.363131704347e+01  
  2.066143732001e-08  ,1.034635217649e+01  ,2.417872995878e+01  
  2.101366351773e-08  ,1.059386693573e+01  ,2.452984691402e+01  
  2.133999894788e-08  ,1.081671776745e+01  ,2.485247508513e+01  
  2.170340101649e-08  ,1.105776464447e+01  ,2.520867328527e+01  
  2.211141343643e-08  ,1.131982799290e+01  ,2.560467985930e+01  
  2.256971727540e-08  ,1.160369441778e+01  ,2.604447821393e+01  
  2.295114043584e-08  ,1.183176463273e+01  ,2.640638759444e+01  
  2.343514877786e-08  ,1.211076624000e+01  ,2.686016888205e+01  
  2.391627001991e-08  ,1.237705432042e+01  ,2.730508883000e+01  
