Item Number,Quantity,Value,Description,Part Number,Part Reference,Manufacturer Name,Manufacturer Part Number,ID,SKU,ALT_MPN,ALT_MFR
1,1,1k,,,R1,,,44,,,
2,1,9k,,,R2,,,47,,,
3,1,1k,,,R3,,,57,,,
4,1,uA741,,,U1,,,21,,,
