Item Number,Quantity,Value,Description,Part Number,Part Reference,Manufacturer Name,Manufacturer Part Number,ID,SKU,ALT_MPN,ALT_MFR
1,1,0.1u,,,C1,,,79,,,
2,1,0.1u,,,C2,,,95,,,
3,1,0.1u,,,C3,,,109,,,
4,1,0.1u,,,C5,,,145,,,
5,1,0.1u,,,C6,,,153,,,
6,1,0.1u,,,C7,,,165,,,
7,1,22p,,,C8,,,172,,,
8,1,0.1u,,,C9,,,191,,,
9,1,10k,,,R1,,,137,,,
10,1,10k,,,R2,,,140,,,
11,1,10,,,R3,,,184,,,
12,1,280,,,RIZ,,,168,,,
13,1,LNA,,,U1,,,2,,,
14,1,VGA,,,U2,,,11,,,
15,1,ADA4870,,,U3,,,57,,,
