  Time                 , V(R5:1)              , V(D14:2)             
  0.000000000000e+00  ,5.111189249618e-14  ,0.000000000000e+00  
  2.000000000000e-10  ,1.187844591726e-03  ,2.513257586224e-03  
  4.000000000000e-10  ,2.345400370048e-03  ,5.026415953341e-03  
  6.034241333604e-10  ,3.479725045151e-03  ,7.582397127311e-03  
  1.010272400081e-09  ,5.648225723483e-03  ,1.269332606473e-02  
  1.823968933523e-09  ,9.544698205517e-03  ,2.290812839975e-02  
  3.451362000406e-09  ,1.577790105881e-02  ,4.328616138520e-02  
  4.906460390985e-09  ,1.995479465242e-02  ,6.141253589502e-02  
  6.383351729810e-09  ,2.305985111119e-02  ,7.967898744657e-02  
  7.807716475427e-09  ,2.530597892263e-02  ,9.713376078902e-02  
  1.011031840891e-08  ,2.777577254473e-02  ,1.249245043244e-01  
  1.471552227587e-08  ,3.001380708373e-02  ,1.784037731791e-01  
  1.972901795954e-08  ,2.966430640583e-02  ,2.323507006267e-01  
  2.975600932688e-08  ,2.618607942978e-02  ,3.217951136807e-01  
  4.216867660135e-08  ,1.933269793255e-02  ,3.879549584671e-01  
  6.216901515573e-08  ,-4.694864950583e-03  ,3.711234929400e-01  
  8.216935371011e-08  ,-2.830151194736e-02  ,2.125308268060e-01  
  1.021696922645e-07  ,-3.636431694266e-02  ,-2.724404888128e-02  
  1.126541492805e-07  ,-3.441358068520e-02  ,-1.548612152644e-01  
  1.199534830913e-07  ,-3.146305597095e-02  ,-2.346409401855e-01  
  1.231795844898e-07  ,-2.983944321336e-02  ,-2.662133218365e-01  
  1.275553104743e-07  ,-2.756832908151e-02  ,-3.046133269380e-01  
  1.363067624435e-07  ,-2.274059961664e-02  ,-3.635553209121e-01  
  1.518427131042e-07  ,-9.651740906740e-03  ,-3.993299242547e-01  
  1.676141021118e-07  ,1.299657345781e-02  ,-3.403046918778e-01  
  1.836715934142e-07  ,2.964616219844e-02  ,-1.963075610832e-01  
  1.858631816968e-07  ,3.031614819919e-02  ,-1.718658163215e-01  
  1.902463582620e-07  ,3.123937895823e-02  ,-1.206588165210e-01  
  1.990127113923e-07  ,3.283449963596e-02  ,-1.240464538656e-02  
  2.071338442430e-07  ,3.317246593277e-02  ,8.889795022655e-02  
  2.117427734002e-07  ,3.260690176418e-02  ,1.442396319394e-01  
