  Time                 , V(R5:1)              , V(Vsin1:+)           
  0.000000000000e+00  ,5.111189249618e-14  ,0.000000000000e+00  
  2.000000000000e-10  ,4.454682664805e-02  ,9.424715948338e-02  
  3.252628862858e-10  ,7.228387074211e-02  ,1.532738566893e-01  
  5.757886588573e-10  ,1.262549732451e-01  ,2.713192161654e-01  
  1.076840204000e-09  ,2.283479846523e-01  ,5.073522037555e-01  
  2.078943294287e-09  ,4.585487516663e-01  ,9.789826013336e-01  
  2.936505120993e-09  ,6.491975501932e-01  ,1.381833445868e+00  
  3.762588244677e-09  ,6.916899728539e-01  ,1.768951775992e+00  
  4.158167508245e-09  ,6.732565806812e-01  ,1.953921943983e+00  
  4.232067954540e-09  ,6.762470428070e-01  ,1.988444693742e+00  
  4.361568358541e-09  ,6.775548477112e-01  ,2.048915121998e+00  
  4.496400584280e-09  ,6.776790036960e-01  ,2.111839202577e+00  
  4.710604776442e-09  ,6.778830500687e-01  ,2.211726560720e+00  
  4.976264540851e-09  ,6.783854421264e-01  ,2.335468959444e+00  
  5.417059515417e-09  ,6.788958936485e-01  ,2.540425009211e+00  
  6.298649464548e-09  ,6.797604081345e-01  ,2.948836416264e+00  
  8.061829362810e-09  ,6.808684543788e-01  ,3.758562279574e+00  
  1.158818915933e-08  ,6.815168281173e-01  ,5.340977592468e+00  
  1.560032681078e-08  ,6.810932563332e-01  ,7.060694860207e+00  
  2.246752694696e-08  ,6.789949211137e-01  ,9.730079495359e+00  
  3.383264258951e-08  ,6.740422296368e-01  ,1.310642503767e+01  
  5.383298114389e-08  ,6.631660998906e-01  ,1.489138006658e+01  
  7.383331969827e-08  ,6.498924043843e-01  ,1.098814785569e+01  
  9.383365825266e-08  ,6.273801460537e-01  ,2.887679247481e+00  
  9.633370057195e-08  ,6.157183703879e-01  ,1.723885347045e+00  
  9.695871115178e-08  ,5.842706853921e-01  ,1.430994067665e+00  
  9.802228153199e-08  ,1.734511438031e-01  ,9.313783576650e-01  
  9.853851363510e-08  ,-7.118357853583e-02  ,6.884672726862e-01  
  9.872149523795e-08  ,-1.503960969446e-01  ,6.023191951136e-01  
  9.893325470835e-08  ,-2.441628289238e-01  ,5.025977848640e-01  
  9.935677364916e-08  ,-4.297558408848e-01  ,3.030926480428e-01  
  9.984338969439e-08  ,-5.997721254241e-01  ,7.380057008700e-02  
  1.002955468044e-07  ,-6.859128865158e-01  ,-1.392711493197e-01  
  1.006663063213e-07  ,-6.990190559728e-01  ,-3.139665267294e-01  
  1.008826991215e-07  ,-6.682546145459e-01  ,-4.159088510457e-01  
  1.009417798974e-07  ,-6.706026335764e-01  ,-4.437385741446e-01  
  1.010531311527e-07  ,-6.720444453463e-01  ,-4.961858295649e-01  
  1.011698957205e-07  ,-6.715717876018e-01  ,-5.511762615756e-01  
  1.014034248561e-07  ,-6.710487428756e-01  ,-6.611341355749e-01  
  1.018051042825e-07  ,-6.700648729099e-01  ,-8.501794979702e-01  
  1.021902061671e-07  ,-6.695152058523e-01  ,-1.031296120577e+00  
  1.026933997542e-07  ,-6.762787481318e-01  ,-1.267720694740e+00  
  1.032128914863e-07  ,-7.199396277374e-01  ,-1.511469896513e+00  
  1.036572254866e-07  ,-7.263677277290e-01  ,-1.719637615254e+00  
  1.038969944835e-07  ,-7.001924539225e-01  ,-1.831831291975e+00  
  1.039770882249e-07  ,-7.016241351986e-01  ,-1.869286234652e+00  
  1.041162976667e-07  ,-7.027273019917e-01  ,-1.934357673192e+00  
  1.042600007400e-07  ,-7.026396743031e-01  ,-2.001490772405e+00  
  1.045474068865e-07  ,-7.023448464926e-01  ,-2.135633224667e+00  
  1.049919737175e-07  ,-7.019596602784e-01  ,-2.342781170877e+00  
  1.058811073795e-07  ,-7.010989852733e-01  ,-2.755665802085e+00  
  1.076593747035e-07  ,-6.992918857687e-01  ,-3.574664703144e+00  
  1.098364343539e-07  ,-6.969266224223e-01  ,-4.561888036952e+00  
  1.113394027248e-07  ,-6.953302745666e-01  ,-5.231261366237e+00  
  1.129563649788e-07  ,-6.936338746299e-01  ,-5.938341420880e+00  
  1.161902894869e-07  ,-6.903270339155e-01  ,-7.304755521769e+00  
  1.191325237647e-07  ,-6.875666180957e-01  ,-8.482828920639e+00  
  1.237205912963e-07  ,-6.835579402535e-01  ,-1.017183021183e+01  
  1.328967263594e-07  ,-6.765650871137e-01  ,-1.288628920204e+01  
  1.490674664870e-07  ,-6.663294800098e-01  ,-1.499356336559e+01  
  1.651994635954e-07  ,-6.561259431588e-01  ,-1.332216290047e+01  
  1.850746323958e-07  ,-6.400844631523e-01  ,-6.778502385257e+00  
  1.875746747151e-07  ,-6.370202836806e-01  ,-5.707724739945e+00  
  1.925747593537e-07  ,-6.289775549813e-01  ,-3.467414710418e+00  
  1.938247805133e-07  ,-6.256680715392e-01  ,-2.891784416612e+00  
  1.963248228326e-07  ,-6.136033545632e-01  ,-1.728041096307e+00  
  1.980891203180e-07  ,-1.435445734031e-01  ,-8.999400671168e-01  
  1.989945521250e-07  ,2.736052679463e-01  ,-4.737273630699e-01  
  1.993536701098e-07  ,4.285926656502e-01  ,-3.045548564681e-01  
  1.998035920456e-07  ,5.886444208669e-01  ,-9.255448068688e-02  
  2.003071581617e-07  ,6.865125708866e-01  ,1.447426273117e-01  
  2.006524925724e-07  ,6.962221288439e-01  ,3.074583476478e-01  
  2.008668131799e-07  ,6.674964908866e-01  ,4.084256041099e-01  
  2.009258823141e-07  ,6.699269439291e-01  ,4.362502382733e-01  
  2.010363138884e-07  ,6.713761617074e-01  ,4.882651486262e-01  
  2.011558724239e-07  ,6.708803494360e-01  ,5.445723482843e-01  
  2.013949894950e-07  ,6.703615487278e-01  ,6.571629051237e-01  
  2.018027690843e-07  ,6.693694410616e-01  ,8.490808284254e-01  
  2.021878244027e-07  ,6.688355292053e-01  ,1.030176393561e+00  
  2.026901797995e-07  ,6.756411399129e-01  ,1.266208749157e+00  
  2.032105097219e-07  ,7.195252889486e-01  ,1.510353224864e+00  
  2.036577308223e-07  ,7.261446285276e-01  ,1.719874178781e+00  
  2.038986639723e-07  ,6.999165003734e-01  ,1.832612128947e+00  
  2.039786762230e-07  ,7.013829897834e-01  ,1.870028725350e+00  
  2.041181184955e-07  ,7.024934508279e-01  ,1.935208550829e+00  
  2.042619612671e-07  ,7.024010792088e-01  ,2.002406383841e+00  
  2.045496468104e-07  ,7.021143179215e-01  ,2.136678005577e+00  
  2.049882531770e-07  ,7.017425399642e-01  ,2.341049407926e+00  
  2.058654659100e-07  ,7.009086033861e-01  ,2.748420050880e+00  
  2.076198913760e-07  ,6.991515439319e-01  ,3.556591939724e+00  
  2.097798146911e-07  ,6.968315889185e-01  ,4.536463293753e+00  
  2.112738423653e-07  ,6.952597075600e-01  ,5.202295400567e+00  
  2.128794424839e-07  ,6.935885707949e-01  ,5.905036840376e+00  
  2.160906427212e-07  ,6.903242844841e-01  ,7.263706655089e+00  
  2.190425627537e-07  ,6.875674169646e-01  ,8.447832066745e+00  
  2.235605948277e-07  ,6.836317462988e-01  ,1.011628929767e+01  
  2.325966589756e-07  ,6.767502928244e-01  ,1.281334299375e+01  
  2.488717072316e-07  ,6.664392026820e-01  ,1.499057765189e+01  
  2.648964159794e-07  ,6.563297042776e-01  ,1.338718761374e+01  
  2.848967545338e-07  ,6.402714952446e-01  ,6.853171987773e+00  
  2.873967968531e-07  ,6.372415192153e-01  ,5.785152580859e+00  
  2.923968814917e-07  ,6.293545072324e-01  ,3.548912811809e+00  
  2.936469026513e-07  ,6.261673200167e-01  ,2.973989360542e+00  
  2.961469449706e-07  ,6.152363913761e-01  ,1.811278555767e+00  
  2.979758762427e-07  ,1.932696820470e-01  ,9.532031419340e-01  
  2.989075713463e-07  ,-2.348586487160e-01  ,5.146938233249e-01  
  2.992758628584e-07  ,-3.951037733780e-01  ,3.412121551866e-01  
  2.997281596668e-07  ,-5.676386857491e-01  ,1.281001819092e-01  
  3.002592929311e-07  ,-6.800960721972e-01  ,-1.221875637990e-01  
  3.006435566254e-07  ,-6.983152209516e-01  ,-3.032482544664e-01  
  3.008719402038e-07  ,-6.677812053026e-01  ,-4.108407561189e-01  
  3.009335471921e-07  ,-6.699512792315e-01  ,-4.398606863082e-01  
  3.010512663655e-07  ,-6.713010696656e-01  ,-4.953075493646e-01  
  3.011701729752e-07  ,-6.708484097514e-01  ,-5.513068265345e-01  
  3.014079861946e-07  ,-6.702513885175e-01  ,-6.632815200737e-01  
  3.018540897079e-07  ,-6.692954468892e-01  ,-8.732252121533e-01  
  3.022588890649e-07  ,-6.689115858769e-01  ,-1.063583160301e+00  
  3.027592886843e-07  ,-6.794665358732e-01  ,-1.298656295875e+00  
  3.032577325262e-07  ,-7.233031557529e-01  ,-1.532491682167e+00  
  3.036297027625e-07  ,-7.258266449281e-01  ,-1.706752708030e+00  
  3.038438603885e-07  ,-7.004384678615e-01  ,-1.806977312706e+00  
  3.039236747332e-07  ,-7.013377251801e-01  ,-1.844309312399e+00  
  3.040554335944e-07  ,-7.024454032728e-01  ,-1.905912122032e+00  
  3.041937117137e-07  ,-7.025147733103e-01  ,-1.970527820756e+00  
  3.044702679522e-07  ,-7.021859197944e-01  ,-2.099646439175e+00  
