  Time                 , V(R5:1)              , V(Vsin1:+)           
  0.000000000000e+00  ,5.111189249618e-14  ,0.000000000000e+00  
  2.000000000000e-10  ,2.969612135401e-03  ,6.283143965559e-03  
  4.000000000000e-10  ,5.863508762356e-03  ,1.256603988335e-02  
  5.987442374229e-10  ,8.636047878997e-03  ,1.880899576425e-02  
  9.962327122688e-10  ,1.398015584127e-02  ,3.129246442379e-02  
  1.791209661961e-09  ,2.354863216444e-02  ,5.624281713885e-02  
  3.381163561344e-09  ,3.892638010912e-02  ,1.060227440578e-01  
  4.908718848228e-09  ,5.004131650899e-02  ,1.536014496609e-01  
  6.363072180748e-09  ,5.785858633816e-02  ,1.985730953096e-01  
  7.758752191067e-09  ,6.368686214234e-02  ,2.413419004217e-01  
  1.006619700193e-08  ,7.073417760745e-02  ,3.109941800311e-01  
  1.468108662367e-08  ,8.232031835112e-02  ,4.450409055825e-01  
  1.930342682600e-08  ,1.073132838670e-01  ,5.699418128518e-01  
  2.813087471724e-08  ,2.188499441318e-01  ,7.731275236216e-01  
  3.940956362486e-08  ,3.453113691292e-01  ,9.451612460757e-01  
  5.117105015516e-08  ,3.796744513841e-01  ,9.993233380481e-01  
  6.811665066481e-08  ,2.324453636442e-01  ,8.423586218563e-01  
  8.013741739988e-08  ,1.368302617301e-02  ,5.842871826098e-01  
  8.954601057768e-08  ,-1.459509562582e-01  ,3.225495470776e-01  
  9.626345404387e-08  ,-1.330499672947e-01  ,1.171176454816e-01  
  1.037810898662e-07  ,-9.336063352731e-02  ,-1.185072880354e-01  
  1.080905056834e-07  ,-8.516558577887e-02  ,-2.514428699703e-01  
  1.116723723054e-07  ,-8.367677622087e-02  ,-3.585352861435e-01  
  1.143009371400e-07  ,-8.581249776833e-02  ,-4.343145688994e-01  
  1.170658475995e-07  ,-9.410250623898e-02  ,-5.108209107769e-01  
  1.218424148202e-07  ,-1.342895406892e-01  ,-6.336016260307e-01  
  1.263082928300e-07  ,-1.934315480988e-01  ,-7.355643809733e-01  
  1.352400488496e-07  ,-3.064861372488e-01  ,-8.944048596094e-01  
  1.458973593354e-07  ,-3.781007092112e-01  ,-9.917054006714e-01  
  1.482021964431e-07  ,-3.815952283056e-01  ,-9.984054476971e-01  
  1.528118706584e-07  ,-3.754683081950e-01  ,-9.961007777277e-01  
  1.620312190890e-07  ,-3.107909110180e-01  ,-9.294149908097e-01  
  1.751725531459e-07  ,-1.107988606260e-01  ,-7.032632432065e-01  
  1.865868426204e-07  ,1.099054811153e-01  ,-4.090263020433e-01  
  1.931686855197e-07  ,1.508304968056e-01  ,-2.129684175728e-01  
  2.013255811572e-07  ,1.061194470454e-01  ,4.163232432160e-02  
  2.052252150416e-07  ,9.340856734849e-02  ,1.634187211996e-01  
  2.085541344523e-07  ,8.773220656579e-02  ,2.655130749186e-01  
  2.112825370669e-07  ,8.588488602007e-02  ,3.470758784835e-01  
  2.133184082150e-07  ,8.633596098597e-02  ,4.063082493212e-01  
  2.156087166905e-07  ,8.987744585561e-02  ,4.709455237099e-01  
  2.192405022025e-07  ,1.083394575956e-01  ,5.683163642158e-01  
  2.231006480098e-07  ,1.499918826797e-01  ,6.636803695566e-01  
  2.308209396243e-07  ,2.546617386164e-01  ,8.239055903097e-01  
  2.406110025287e-07  ,3.528858481899e-01  ,9.568125924035e-01  
  2.550248957515e-07  ,3.663156704537e-01  ,9.875656875063e-01  
  2.704803801417e-07  ,1.943441503658e-01  ,8.000545911882e-01  
  2.811660028338e-07  ,-7.617395175758e-03  ,5.577624187009e-01  
  2.896164513469e-07  ,-1.468073484944e-01  ,3.204540740701e-01  
  2.961543358207e-07  ,-1.329759935131e-01  ,1.205214090658e-01  
  3.033851242900e-07  ,-9.440290010923e-02  ,-1.061464718729e-01  
  3.075924671531e-07  ,-8.583612438615e-02  ,-2.362690524269e-01  
  3.112726814389e-07  ,-8.377866915134e-02  ,-3.467854852873e-01  
  3.138263679385e-07  ,-8.529748832419e-02  ,-4.208373199883e-01  
  3.165596134305e-07  ,-9.180126771438e-02  ,-4.970845813787e-01  
  3.207319385648e-07  ,-1.219290498405e-01  ,-6.062311886427e-01  
  3.255830115914e-07  ,-1.833708961253e-01  ,-7.199387149738e-01  
  3.342599577546e-07  ,-2.962130853335e-01  ,-8.802118055411e-01  
  3.446892804742e-07  ,-3.738705937141e-01  ,-9.861142663769e-01  
  3.468771434665e-07  ,-3.795154946617e-01  ,-9.951913247906e-01  
  3.512528694510e-07  ,-3.791394469879e-01  ,-9.992254930471e-01  
  3.600043214202e-07  ,-3.307763126160e-01  ,-9.510145549450e-01  
  3.736299432158e-07  ,-1.395066252395e-01  ,-7.368775097051e-01  
  3.854763663650e-07  ,9.088972783725e-02  ,-4.406058093503e-01  
  3.925208903193e-07  ,1.532651792228e-01  ,-2.328071581997e-01  
  4.000564075351e-07  ,1.120255640013e-01  ,1.772094050533e-03  
  4.034829295516e-07  ,9.835151814571e-02  ,1.092012500266e-01  
  4.068308479428e-07  ,9.040203113549e-02  ,2.129540970811e-01  
  4.096877730727e-07  ,8.688641961370e-02  ,2.996734615724e-01  
  4.120257652640e-07  ,8.602867296817e-02  ,3.688770299522e-01  
  4.142959571719e-07  ,8.754998900586e-02  ,4.341736392047e-01  
  4.165717370152e-07  ,9.294498167654e-02  ,4.974150301766e-01  
  4.191354817986e-07  ,1.076477175652e-01  ,5.655985675495e-01  
  4.242629713655e-07  ,1.653755491254e-01  ,6.905460429997e-01  
  4.345179504991e-07  ,2.992757969616e-01  ,8.840293699376e-01  
  4.440189308763e-07  ,3.713791561043e-01  ,9.823985184821e-01  
  4.462112642169e-07  ,3.781870519300e-01  ,9.929246880046e-01  
  4.505959308982e-07  ,3.802117571851e-01  ,9.998247536942e-01  
  4.593652642608e-07  ,3.364625907738e-01  ,9.570290766490e-01  
  4.731711901069e-07  ,1.478605672981e-01  ,7.465436401481e-01  
  4.849341667533e-07  ,-8.100059847206e-02  ,4.558323182327e-01  
  4.921522892356e-07  ,-1.539164782163e-01  ,2.440530590212e-01  
  4.995127178073e-07  ,-1.145896470971e-01  ,1.530782365960e-02  
  5.029243386626e-07  ,-1.000488993058e-01  ,-9.174162775635e-02  
  5.065099305749e-07  ,-9.087861343349e-02  ,-2.030927816638e-01  
  5.093396610856e-07  ,-8.711695177668e-02  ,-2.892220988817e-01  
  5.119969106555e-07  ,-8.596649367222e-02  ,-3.680343118476e-01  
  5.144891298652e-07  ,-8.760276028488e-02  ,-4.396324719614e-01  
  5.174205608010e-07  ,-9.658524345025e-02  ,-5.203690432118e-01  
  5.216383344769e-07  ,-1.321808312808e-01  ,-6.286284182284e-01  
  5.265281505227e-07  ,-1.965743769869e-01  ,-7.402260009370e-01  
  5.363077826142e-07  ,-3.173887991271e-01  ,-9.089016677708e-01  
  5.468592948556e-07  ,-3.795174064432e-01  ,-9.951362447027e-01  
  5.653516358972e-07  ,-2.711894451047e-01  ,-8.859370412353e-01  
  5.823717422128e-07  ,3.187689257809e-02  ,-5.259298886478e-01  
  5.909980244279e-07  ,1.556897946474e-01  ,-2.790507055804e-01  
  5.984679765344e-07  ,1.227254996325e-01  ,-4.811135670716e-02  
  6.020967818141e-07  ,1.046000006871e-01  ,6.582471526660e-02  
  6.075707233787e-07  ,8.962742074065e-02  ,2.356052367076e-01  
  6.112088418841e-07  ,8.593500680260e-02  ,3.449036675945e-01  
  6.139059520602e-07  ,8.667365481015e-02  ,4.231040321229e-01  
  6.167531914353e-07  ,9.321905450958e-02  ,5.023522284296e-01  
  6.206975288033e-07  ,1.214892437194e-01  ,6.053711161974e-01  
  6.255359358430e-07  ,1.826799057119e-01  ,7.189114961361e-01  
  6.352127499223e-07  ,3.062868429129e-01  ,8.940209526180e-01  
  6.451205320001e-07  ,3.752078610990e-01  ,9.882736167627e-01  
  6.474216438174e-07  ,3.802950703620e-01  ,9.967211760267e-01  
  6.520238674521e-07  ,3.773689885867e-01  ,9.979793664043e-01  
  6.612283147216e-07  ,3.190103636486e-01  ,9.384269149718e-01  
  6.744486249328e-07  ,1.243943450031e-01  ,7.192485619324e-01  
  6.860149062514e-07  ,-1.002917495493e-01  ,4.253555200859e-01  
  6.927777982593e-07  ,-1.522015351862e-01  ,2.249504273906e-01  
  7.004846788287e-07  ,-1.097356449152e-01  ,-1.522604609974e-02  
  7.039179063678e-07  ,-9.687717881971e-02  ,-1.227741086160e-01  
  7.071607715726e-07  ,-8.976438778942e-02  ,-2.230695865638e-01  
  7.102207250237e-07  ,-8.643547204999e-02  ,-3.156044053823e-01  
  7.124890542865e-07  ,-8.602991592051e-02  ,-3.823657155388e-01  
  7.147398746848e-07  ,-8.814355028808e-02  ,-4.466940468489e-01  
  7.183142907262e-07  ,-1.017607649414e-01  ,-5.441372103411e-01  
  7.219259596705e-07  ,-1.355708499307e-01  ,-6.356300180780e-01  
  7.262212193847e-07  ,-1.922928966400e-01  ,-7.337084582923e-01  
  7.348117388129e-07  ,-3.021931501150e-01  ,-8.883058748886e-01  
  7.456508434653e-07  ,-3.776342837845e-01  ,-9.906802537798e-01  
  7.478971935153e-07  ,-3.815063046420e-01  ,-9.978187250301e-01  
  7.523898936152e-07  ,-3.768063696898e-01  ,-9.971827663691e-01  
  7.613752938151e-07  ,-3.176744727430e-01  ,-9.368216780282e-01  
  7.747550464511e-07  ,-1.186649021026e-01  ,-7.125272899234e-01  
  7.863243080020e-07  ,1.056236695098e-01  ,-4.165385795537e-01  
  7.930261052489e-07  ,1.515800514879e-01  ,-2.173427987016e-01  
  8.009669340491e-07  ,1.077738361951e-01  ,3.037245741766e-02  
  8.044411397815e-07  ,9.553602097448e-02  ,1.390702915210e-01  
  8.076094991803e-07  ,8.914446282971e-02  ,2.367889462236e-01  
  8.104697770715e-07  ,8.634869748524e-02  ,3.230189819665e-01  
  8.124680227876e-07  ,8.608534011889e-02  ,3.817551158074e-01  
  8.146327889800e-07  ,8.790014119993e-02  ,4.436816224838e-01  
  8.184698379874e-07  ,1.027430398193e-01  ,5.482305876857e-01  
  8.220654881835e-07  ,1.372005881013e-01  ,6.390078719351e-01  
  8.285489834189e-07  ,2.244859999704e-01  ,7.813916434905e-01  
  8.396250165343e-07  ,3.466525067946e-01  ,9.473502477064e-01  
  8.514714396834e-07  ,3.789988756081e-01  ,9.989317390822e-01  
  8.687985099196e-07  ,2.214386167242e-01  ,8.306219668891e-01  
  8.805510557532e-07  ,4.803566428278e-03  ,5.736922304244e-01  
  8.897197402358e-07  ,-1.480575894878e-01  ,3.173785999371e-01  
  8.964863575339e-07  ,-1.322439225282e-01  ,1.101603034328e-01  
  9.031851745486e-07  ,-9.918122957834e-02  ,-9.989830028167e-02  
  9.077926135898e-07  ,-8.832282431584e-02  ,-2.423741054952e-01  
  9.114746905208e-07  ,-8.532006349925e-02  ,-3.527309411709e-01  
  9.141196466327e-07  ,-8.657481138771e-02  ,-4.291773485286e-01  
  9.169300056338e-07  ,-9.402112380523e-02  ,-5.071474683496e-01  
  9.214532531142e-07  ,-1.299553310099e-01  ,-6.240958449498e-01  
  9.259273267627e-07  ,-1.881879099923e-01  ,-7.274038413917e-01  
  9.348754740596e-07  ,-3.026496054926e-01  ,-8.892236552851e-01  
  9.452496624827e-07  ,-3.762706076768e-01  ,-9.888849222530e-01  
  9.475470490098e-07  ,-3.809768241847e-01  ,-9.970322141525e-01  
  9.521418220639e-07  ,-3.774054481282e-01  ,-9.977370619700e-01  
  9.613313681722e-07  ,-3.180975212595e-01  ,-9.373035076232e-01  
  9.745621091962e-07  ,-1.222918543426e-01  ,-7.167670540450e-01  
  9.861269003987e-07  ,1.022473661179e-01  ,-4.221686492926e-01  
  9.928637153745e-07  ,1.520244549329e-01  ,-2.223196244205e-01  
  1.000000000000e-06  ,1.043381502083e-01  ,5.880780558454e-15  
