  Time                 , V(R5:1)              , V(Vsin1:+)           
  0.000000000000e+00  ,5.111189249618e-14  ,0.000000000000e+00  
  2.000000000000e-10  ,1.188374571322e-01  ,2.513257586224e-01  
  2.630971044302e-10  ,1.563879384332e-01  ,3.306138077027e-01  
  3.892913132906e-10  ,2.309268144469e-01  ,4.891856970478e-01  
  6.416797310114e-10  ,3.811963478231e-01  ,8.063039174967e-01  
  9.401686161757e-10  ,5.691488166752e-01  ,1.181278953387e+00  
  1.226177778840e-09  ,7.030316024810e-01  ,1.540479386856e+00  
  1.521407034993e-09  ,7.267063803346e-01  ,1.911128610463e+00  
  1.680965875089e-09  ,6.761262400006e-01  ,2.111382327364e+00  
  1.731286397949e-09  ,6.799888768371e-01  ,2.174526142804e+00  
  1.798551170900e-09  ,6.828251390632e-01  ,2.258923634819e+00  
  1.897154948488e-09  ,6.835368893478e-01  ,2.382624016101e+00  
  2.094362503663e-09  ,6.840858029114e-01  ,2.629955001476e+00  
  2.488777614012e-09  ,6.855215178516e-01  ,3.124304641403e+00  
  3.277607834712e-09  ,6.878977302932e-01  ,4.111489045925e+00  
  4.855268276110e-09  ,6.908165887834e-01  ,6.077678475669e+00  
  6.147198951617e-09  ,6.924113980072e-01  ,7.676871023547e+00  
  7.376544750109e-09  ,6.934667383764e-01  ,9.186892745742e+00  
  9.548761523142e-09  ,6.943291725528e-01  ,1.182016591639e+01  
  1.389319506921e-08  ,6.943863148667e-01  ,1.690963462349e+01  
  1.841346231736e-08  ,6.930427797777e-01  ,2.186994058293e+01  
  2.675662246980e-08  ,6.888044097619e-01  ,2.980131394110e+01  
  4.344294277467e-08  ,6.767414919009e-01  ,3.915430961182e+01  
  4.594298509397e-08  ,6.745135958967e-01  ,3.967554464143e+01  
  5.094306973256e-08  ,6.697136672929e-01  ,3.998244561634e+01  
  6.094323900975e-08  ,6.588858110103e-01  ,3.765933239532e+01  
  8.094357756414e-08  ,6.271294766369e-01  ,2.254194186256e+01  
  8.344361988343e-08  ,6.209689120458e-01  ,1.987985759037e+01  
  8.844370452203e-08  ,6.044590356772e-01  ,1.420514770642e+01  
  9.694034663476e-08  ,5.007832573641e-01  ,3.838955821455e+00  
  9.769993332662e-08  ,4.229255851375e-01  ,2.887834440928e+00  
  9.921910671033e-08  ,-6.740131945014e-02  ,9.812010204406e-01  
  1.003100579742e-07  ,-7.982061258930e-01  ,-3.896241801369e-01  
  1.008228441838e-07  ,-7.561808975657e-01  ,-1.033901338497e+00  
  1.010464081679e-07  ,-7.270002803366e-01  ,-1.314718454275e+00  
  1.011512983728e-07  ,-7.500206658442e-01  ,-1.446448780863e+00  
  1.012474923532e-07  ,-7.723481724398e-01  ,-1.567243853107e+00  
  1.013831162032e-07  ,-7.989820699042e-01  ,-1.737528199511e+00  
  1.015438857626e-07  ,-7.860044837299e-01  ,-1.939343474161e+00  
  1.016202891383e-07  ,-7.440478747110e-01  ,-2.035236197713e+00  
  1.016521927573e-07  ,-7.423909673512e-01  ,-2.075274509601e+00  
  1.016834444504e-07  ,-7.434915757118e-01  ,-2.114492648496e+00  
