  Time                 , V(R5:1)              , V(D14:2)             
  0.000000000000e+00  ,5.111189249618e-14  ,0.000000000000e+00  
  2.000000000000e-10  ,5.939222771496e-04  ,1.256628793112e-03  
  4.000000000000e-10  ,1.172699961149e-03  ,2.513207976671e-03  
  6.639368176460e-10  ,1.913295341271e-03  ,4.171335575781e-03  
  1.191810452938e-09  ,3.295567592814e-03  ,7.486616404505e-03  
  2.247557723522e-09  ,5.692249138251e-03  ,1.411009018927e-02  
  3.828943455219e-09  ,8.516749123411e-03  ,2.399998489087e-02  
  5.737037146091e-09  ,1.091106993422e-02  ,3.585202399891e-02  
  7.586271250248e-09  ,1.248644682525e-02  ,4.721598178387e-02  
  9.683609688282e-09  ,1.367187957073e-02  ,5.990973472019e-02  
  1.387828656435e-08  ,1.470538888869e-02  ,8.446327272592e-02  
  1.844176717997e-08  ,1.474183101478e-02  ,1.094985684721e-01  
  2.678939768076e-08  ,1.320163760540e-02  ,1.491438535393e-01  
  2.880440720320e-08  ,1.252620953266e-02  ,1.572747942400e-01  
  3.283442624807e-08  ,1.097752414630e-02  ,1.716165075241e-01  
  4.089446433783e-08  ,7.543163730139e-03  ,1.918726828318e-01  
  5.701454051733e-08  ,-5.354320015015e-04  ,1.951634022906e-01  
  7.701487907171e-08  ,-1.080189500868e-02  ,1.321922322604e-01  
  9.701521762609e-08  ,-1.642144757866e-02  ,1.872646969522e-02  
  1.100313819289e-07  ,-1.711871089635e-02  ,-6.199089668190e-02  
  1.179602898002e-07  ,-1.586027355569e-02  ,-1.069546103149e-01  
  1.210709071994e-07  ,-1.500859888050e-02  ,-1.229331385881e-01  
  1.254712200999e-07  ,-1.364857926795e-02  ,-1.434993593393e-01  
  1.342718459010e-07  ,-1.049562893134e-02  ,-1.760777978642e-01  
  1.498823023677e-07  ,-3.167189773054e-03  ,-1.999986327916e-01  
  1.650218821406e-07  ,5.033918530893e-03  ,-1.781388437880e-01  
  1.834903813243e-07  ,1.323283196303e-02  ,-9.914422570788e-02  
  1.999889469981e-07  ,1.723949740466e-02  ,-6.944805762103e-05  
  2.105136371493e-07  ,1.709471987568e-02  ,6.486454276626e-02  
  2.170924998164e-07  ,1.594341446990e-02  ,1.023081102393e-01  
  2.198618806243e-07  ,1.522185709254e-02  ,1.168538570486e-01  
  2.236586964965e-07  ,1.412871021264e-02  ,1.353383273819e-01  
  2.312523282409e-07  ,1.162267459494e-02  ,1.663020493242e-01  
  2.464395917296e-07  ,5.154777607091e-03  ,1.987501827783e-01  
  2.602470076919e-07  ,-2.515926725847e-03  ,1.897259882420e-01  
  2.802473462462e-07  ,-1.212364496955e-02  ,1.162962025888e-01  
  2.993178523421e-07  ,-1.743369895253e-02  ,4.285732081047e-03  
  3.119152940154e-07  ,-1.724030819510e-02  ,-7.312980163160e-02  
  3.196117437720e-07  ,-1.561697614654e-02  ,-1.155747691035e-01  
  3.228158659577e-07  ,-1.461782618379e-02  ,-1.313923252141e-01  
  3.272392756581e-07  ,-1.312349985515e-02  ,-1.510121910369e-01  
  3.360860950589e-07  ,-9.749919080772e-03  ,-1.811950740906e-01  
  3.518366224408e-07  ,-2.333919347835e-03  ,-1.996671726345e-01  
  3.537041104674e-07  ,-1.241449265607e-03  ,-1.986473748252e-01  
  3.574390865207e-07  ,8.864927219021e-04  ,-1.945629746390e-01  
  3.649090386271e-07  ,4.942793839592e-03  ,-1.784600447834e-01  
  3.798489428401e-07  ,1.196962381537e-02  ,-1.183235781568e-01  
  3.998492813945e-07  ,1.746447735564e-02  ,-9.469893891358e-04  
  4.115973568797e-07  ,1.722104560305e-02  ,7.126685889570e-02  
  4.190144098639e-07  ,1.570515499842e-02  ,1.124915477961e-01  
  4.220616973281e-07  ,1.479248739072e-02  ,1.277832521728e-01  
  4.262906468749e-07  ,1.341258020448e-02  ,1.470377422759e-01  
  4.347485459685e-07  ,1.029702036068e-02  ,1.774784777882e-01  
  4.506421244979e-07  ,2.985982556743e-03  ,1.999593066451e-01  
  4.651186025977e-07  ,-5.125263334512e-03  ,1.778617539503e-01  
  4.851189411521e-07  ,-1.381213129752e-02  ,9.013159233137e-02  
  5.051192797065e-07  ,-1.691720952041e-02  ,-3.202690105469e-02  
  5.166989720702e-07  ,-1.618014162175e-02  ,-1.001757350296e-01  
  5.246278799415e-07  ,-1.420579646146e-02  ,-1.397584442803e-01  
  5.293366468787e-07  ,-1.253870693185e-02  ,-1.593185702653e-01  
  5.353187180400e-07  ,-1.013047096130e-02  ,-1.791015020521e-01  
  5.472828603625e-07  ,-4.435571966700e-03  ,-1.992717844721e-01  
  5.634506202579e-07  ,4.190173025025e-03  ,-1.824081132378e-01  
  5.814989066958e-07  ,1.252736719471e-02  ,-1.098103050572e-01  
  6.014992452502e-07  ,1.682449205830e-02  ,9.416553171055e-03  
  6.128882027507e-07  ,1.672034848987e-02  ,7.878441938474e-02  
  6.204371310115e-07  ,1.525186601406e-02  ,1.197679216100e-01  
  6.237302876353e-07  ,1.426332263768e-02  ,1.356691725078e-01  
  6.282207525611e-07  ,1.275709349271e-02  ,1.549830613202e-01  
  6.372016824126e-07  ,9.198407340391e-03  ,1.840505063920e-01  
  6.392774141669e-07  ,8.267166134583e-03  ,1.887594351998e-01  
  6.434288776755e-07  ,6.295430997191e-03  ,1.957534528095e-01  
  6.517318046927e-07  ,2.053529343623e-03  ,1.997040690151e-01  
  6.683376587272e-07  ,-6.723195882595e-03  ,1.677193102488e-01  
  6.883379972816e-07  ,-1.474637407222e-02  ,7.164623107800e-02  
  7.083383358359e-07  ,-1.683724291580e-02  ,-5.179416902443e-02  
  7.192042625785e-07  ,-1.564614677343e-02  ,-1.134758451279e-01  
  7.235114432216e-07  ,-1.442803094708e-02  ,-1.346556733910e-01  
  7.295665300727e-07  ,-1.236300017475e-02  ,-1.601875702979e-01  
  7.408183968902e-07  ,-7.760754079733e-03  ,-1.917372714654e-01  
  7.426391325235e-07  ,-6.815391304951e-03  ,-1.946762025467e-01  
  7.462806037903e-07  ,-4.942441020821e-03  ,-1.986362007725e-01  
  7.535635463238e-07  ,-1.085368675069e-03  ,-1.987479809956e-01  
  7.681294313908e-07  ,6.622954190059e-03  ,-1.684284337482e-01  
  7.881297699451e-07  ,1.507667286618e-02  ,-7.286619022755e-02  
  7.897349975348e-07  ,1.531842753510e-02  ,-6.338480455834e-02  
  7.929454527140e-07  ,1.566319531202e-02  ,-4.396306069646e-02  
  7.993663630724e-07  ,1.628997152526e-02  ,-3.980995302974e-03  
  8.060979626417e-07  ,1.653140352230e-02  ,3.808069940899e-02  
  8.101413927317e-07  ,1.633879543800e-02  ,6.264770187233e-02  
  8.137813738823e-07  ,1.591697172633e-02  ,8.391092717784e-02  
  8.173919252396e-07  ,1.534300692941e-02  ,1.039201232294e-01  
  8.202142051697e-07  ,1.476653075762e-02  ,1.186432289420e-01  
  8.234052888393e-07  ,1.398808289542e-02  ,1.341617620967e-01  
  8.297874561787e-07  ,1.203561917760e-02  ,1.610148385358e-01  
  8.425517908573e-07  ,6.825342861448e-03  ,1.945496924475e-01  
  8.570536009312e-07  ,-5.146050508073e-04  ,1.951096084113e-01  
  8.765145174503e-07  ,-1.067996321973e-02  ,1.345350226404e-01  
  8.965148560047e-07  ,-1.633516098094e-02  ,2.185408050348e-02  
  9.094594947338e-07  ,-1.713714583686e-02  ,-5.856476617556e-02  
  9.167692593575e-07  ,-1.604973573121e-02  ,-1.005577273051e-01  
  9.197710982800e-07  ,-1.528336239389e-02  ,-1.163904668307e-01  
  9.240373007298e-07  ,-1.404707745894e-02  ,-1.370801736243e-01  
  9.323879114628e-07  ,-1.121975013390e-02  ,-1.701589946996e-01  
  9.481801620960e-07  ,-4.074631132566e-03  ,-1.996732264777e-01  
  9.499723992586e-07  ,-3.096289743735e-03  ,-1.999999248133e-01  
  9.535568735838e-07  ,-1.138538226752e-03  ,-1.987526605412e-01  
  9.607258222342e-07  ,2.746906353244e-03  ,-1.887527130252e-01  
  9.750637195349e-07  ,9.942145349711e-03  ,-1.411379746378e-01  
  9.950640580893e-07  ,1.673670700399e-02  ,-3.088929638186e-02  
  1.000000000000e-06  ,1.663388397571e-02  ,1.176156111691e-15  
