  Time                 , V(R5:1)              , V(Vsin1:+)           
  0.000000000000e+00  ,5.111189249618e-14  ,0.000000000000e+00  
  2.000000000000e-10  ,2.969689727661e-02  ,6.283143965559e-02  
  3.456355676055e-10  ,5.114710680239e-02  ,1.085824822138e-01  
  6.369067028165e-10  ,9.262812154461e-02  ,2.000767907565e-01  
  1.219448973238e-09  ,1.696859239932e-01  ,3.830074897340e-01  
  2.384533514082e-09  ,3.188148502242e-01  ,7.484228314285e-01  
  3.603262235224e-09  ,5.397837938006e-01  ,1.129582156706e+00  
  4.813795317709e-09  ,6.829250566851e-01  ,1.506540494358e+00  
  5.615384657681e-09  ,6.798185941169e-01  ,1.754989013730e+00  
  6.311734546721e-09  ,6.722212998093e-01  ,1.969921359470e+00  
  6.467451681197e-09  ,6.751073921884e-01  ,2.017858993392e+00  
  6.643518213928e-09  ,6.757470285443e-01  ,2.072002975336e+00  
  6.874742326140e-09  ,6.759013168972e-01  ,2.143012460766e+00  
  7.326340642571e-09  ,6.762296541521e-01  ,2.281369869787e+00  
  8.229537275434e-09  ,6.767789083787e-01  ,2.556679360731e+00  
  1.003593054116e-08  ,6.773685317540e-01  ,3.100903415426e+00  
  1.364871707261e-08  ,6.774905571152e-01  ,4.157680050154e+00  
  1.915618624985e-08  ,6.763380256074e-01  ,5.661348610288e+00  
  2.930834737122e-08  ,6.727878541618e-01  ,7.960550882807e+00  
  4.930868592560e-08  ,6.643641021456e-01  ,9.997641675969e+00  
  6.930902447999e-08  ,6.545143745808e-01  ,8.215848151152e+00  
  8.930936303437e-08  ,6.410559735472e-01  ,3.295777152482e+00  
  9.180940535367e-08  ,6.375313472035e-01  ,2.544849869972e+00  
  9.243441593349e-08  ,6.363166312533e-01  ,2.354483225649e+00  
  9.368443709314e-08  ,6.332622449608e-01  ,1.971100492914e+00  
  9.519597363174e-08  ,6.194979403017e-01  ,1.503506445436e+00  
  9.673749875724e-08  ,3.032416319609e-01  ,1.023151407240e+00  
  9.753806364238e-08  ,4.308395242959e-02  ,7.726692158942e-01  
  9.769892633408e-08  ,-1.670747553975e-03  ,7.222741403660e-01  
  9.786833391041e-08  ,-5.131088965104e-02  ,6.691822052119e-01  
  9.820714906305e-08  ,-1.512715199509e-01  ,5.629429762179e-01  
  9.887686312646e-08  ,-3.477336556191e-01  ,3.527706452613e-01  
  9.968413353413e-08  ,-5.612326301598e-01  ,9.923074829682e-02  
  1.004413919196e-07  ,-6.579228148975e-01  ,-1.386629172510e-01  
  1.009665647194e-07  ,-6.506901320945e-01  ,-3.036085993226e-01  
  1.014495486066e-07  ,-6.421555051052e-01  ,-4.552317445669e-01  
  1.015675704598e-07  ,-6.446352108315e-01  ,-4.922677502251e-01  
  1.017576301143e-07  ,-6.446189587689e-01  ,-5.518952326634e-01  
  1.021108342007e-07  ,-6.433898998832e-01  ,-6.626522012564e-01  
  1.024415934131e-07  ,-6.423359668485e-01  ,-7.662972400500e-01  
  1.031031118378e-07  ,-6.406727260772e-01  ,-9.733279147412e-01  
  1.038915695295e-07  ,-6.464851980327e-01  ,-1.219529300562e+00  
  1.046926932082e-07  ,-6.954911494543e-01  ,-1.468918561014e+00  
  1.053816856489e-07  ,-7.038456042723e-01  ,-1.682663140474e+00  
  1.057632950738e-07  ,-6.871556900361e-01  ,-1.800716137935e+00  
  1.058919572875e-07  ,-6.891809312469e-01  ,-1.840461013689e+00  
  1.061069298208e-07  ,-6.899153188814e-01  ,-1.906800480575e+00  
  1.063871647835e-07  ,-6.897728038706e-01  ,-1.993148571215e+00  
  1.069476347089e-07  ,-6.894850963192e-01  ,-2.165374622287e+00  
  1.080685745597e-07  ,-6.889695078542e-01  ,-2.507759594335e+00  
  1.096376668334e-07  ,-6.879604010294e-01  ,-2.981713012915e+00  
  1.107504110456e-07  ,-6.872216586765e-01  ,-3.313500723631e+00  
  1.119229461670e-07  ,-6.864072488385e-01  ,-3.658727500382e+00  
  1.142680164099e-07  ,-6.846922268736e-01  ,-4.333827377436e+00  
  1.174091811895e-07  ,-6.824458787622e-01  ,-5.200637249973e+00  
  1.204262938023e-07  ,-6.803947732104e-01  ,-5.985669087192e+00  
  1.264605190277e-07  ,-6.765604681815e-01  ,-7.387957677578e+00  
  1.371222998619e-07  ,-6.706847042634e-01  ,-9.192737550105e+00  
  1.531231667519e-07  ,-6.627620937081e-01  ,-9.951903701414e+00  
  1.696366335869e-07  ,-6.543685708657e-01  ,-8.156739944743e+00  
  1.896369721413e-07  ,-6.404773712158e-01  ,-3.198433255491e+00  
  1.921370144606e-07  ,-6.365735456287e-01  ,-2.445183917106e+00  
  1.927620250404e-07  ,-6.353894216900e-01  ,-2.254332297004e+00  
  1.940120462000e-07  ,-6.320053582953e-01  ,-1.870095618987e+00  
  1.952842328370e-07  ,-6.148535250080e-01  ,-1.476088439179e+00  
  1.966480616152e-07  ,-3.291300028688e-01  ,-1.051097383841e+00  
  1.973424557269e-07  ,-1.012147014556e-01  ,-8.339225656096e-01  
  1.974873462364e-07  ,-6.112660691580e-02  ,-7.885539377396e-01  
  1.977297229365e-07  ,9.994249118490e-03  ,-7.126240352139e-01  
  1.980701679036e-07  ,1.105084703063e-01  ,-6.059032890590e-01  
  1.986905218706e-07  ,2.928960259239e-01  ,-4.112686608711e-01  
  1.994752542719e-07  ,5.137111530736e-01  ,-1.648462655519e-01  
  2.003493936405e-07  ,6.505201276943e-01  ,1.097630452596e-01  
  2.008621798500e-07  ,6.531069835349e-01  ,2.708286693859e-01  
  2.012660478845e-07  ,6.429663744215e-01  ,3.976358122108e-01  
  2.013758973822e-07  ,6.448750535625e-01  ,4.321163198295e-01  
  2.015679826632e-07  ,6.448670022236e-01  ,4.923970906930e-01  
  2.018945043579e-07  ,6.437306885213e-01  ,5.948247729225e-01  
  2.023338092163e-07  ,6.423261584381e-01  ,7.325310727503e-01  
  2.029238020673e-07  ,6.406898240151e-01  ,9.172484119655e-01  
  2.037177545622e-07  ,6.421009069085e-01  ,1.165313388096e+00  
  2.045388085440e-07  ,6.838325014221e-01  ,1.421081700629e+00  
  2.053215851679e-07  ,7.020299943747e-01  ,1.664048244406e+00  
  2.056845681414e-07  ,6.874687582906e-01  ,1.776382154466e+00  
  2.058305995211e-07  ,6.890916143988e-01  ,1.821510777322e+00  
  2.060562822640e-07  ,6.897513697013e-01  ,1.891178612730e+00  
  2.063531879008e-07  ,6.896426653486e-01  ,1.982687456736e+00  
  2.069469991744e-07  ,6.893695387924e-01  ,2.165179699845e+00  
  2.081346217215e-07  ,6.887700219135e-01  ,2.527840467776e+00  
  2.097590345562e-07  ,6.877827172825e-01  ,3.018085656939e+00  
  2.109235603034e-07  ,6.870141906309e-01  ,3.364774921369e+00  
  2.121448967278e-07  ,6.861691977734e-01  ,3.723531270239e+00  
  2.145875695765e-07  ,6.843952842153e-01  ,4.424080470628e+00  
  2.175640765250e-07  ,6.823041354130e-01  ,5.242138895099e+00  
  2.209358367741e-07  ,6.800004461591e-01  ,6.113130567923e+00  
  2.276793572724e-07  ,6.758295738982e-01  ,7.640533036022e+00  
  2.411663982689e-07  ,6.685801138806e-01  ,9.617389995009e+00  
  2.429953295410e-07  ,6.677171070268e-01  ,9.758847439744e+00  
  2.466531920850e-07  ,6.659496216333e-01  ,9.944775576423e+00  
  2.539689171731e-07  ,6.624029918991e-01  ,9.922366156593e+00  
  2.686003673494e-07  ,6.549043763179e-01  ,8.340720672215e+00  
  2.886007059038e-07  ,6.415376265237e-01  ,3.505135505932e+00  
  2.911007482231e-07  ,6.382041015478e-01  ,2.759502893019e+00  
  2.961008328617e-07  ,4.729342999056e-01  ,1.221898309228e+00  
  2.966829094708e-07  ,2.975430464757e-01  ,1.040209623216e+00  
  2.972991656184e-07  ,1.168868524679e-01  ,8.474744073988e-01  
  2.976532544613e-07  ,1.317105499173e-02  ,7.365841590919e-01  
  2.981038748890e-07  ,-1.196226590280e-01  ,5.953330451872e-01  
  2.990051157445e-07  ,-3.838870257920e-01  ,3.125012212423e-01  
  2.998525261551e-07  ,-5.915841496783e-01  ,4.633010902303e-02  
  3.006927653819e-07  ,-6.621243573130e-01  ,-2.176214825261e-01  
  3.011435720742e-07  ,-6.440517669684e-01  ,-3.591864838020e-01  
  3.012809188709e-07  ,-6.446607878993e-01  ,-4.023039318934e-01  
  3.015291163370e-07  ,-6.444946151379e-01  ,-4.802013212940e-01  
  3.017763824806e-07  ,-6.437091645385e-01  ,-5.577773873312e-01  
  3.022709147677e-07  ,-6.421484892137e-01  ,-7.128238663876e-01  
  3.027321522728e-07  ,-6.408420550611e-01  ,-8.572774058640e-01  
  3.036546272829e-07  ,-6.410338412423e-01  ,-1.145614204934e+00  
  3.045133066967e-07  ,-6.818000680398e-01  ,-1.413150912879e+00  
  3.053328705624e-07  ,-7.027023391171e-01  ,-1.667544119150e+00  
  3.057250970647e-07  ,-6.873158283197e-01  ,-1.788910747899e+00  
  3.058707326323e-07  ,-6.890740366628e-01  ,-1.833906586971e+00  
  3.061034701437e-07  ,-6.897268893754e-01  ,-1.905733521689e+00  
  3.064029369175e-07  ,-6.896020573140e-01  ,-1.998003869566e+00  
  3.070018704653e-07  ,-6.893223060119e-01  ,-2.182005882308e+00  
  3.081997375607e-07  ,-6.887527852900e-01  ,-2.547627529677e+00  
  3.098148371696e-07  ,-6.877257163988e-01  ,-3.034794426972e+00  
  3.109815980911e-07  ,-6.869534024114e-01  ,-3.381939282497e+00  
  3.121952976704e-07  ,-6.861143879881e-01  ,-3.738221920008e+00  
  3.146226968288e-07  ,-6.843591065107e-01  ,-4.433974610644e+00  
  3.174587603331e-07  ,-6.823616511183e-01  ,-5.213934609641e+00  
  3.214165087461e-07  ,-6.796795268638e-01  ,-6.231934739676e+00  
  3.266706581831e-07  ,-6.763943479923e-01  ,-7.432287267302e+00  
  3.371789570570e-07  ,-6.705257710941e-01  ,-9.199729156060e+00  
  3.534152622938e-07  ,-6.626059834585e-01  ,-9.942495582835e+00  
  3.716125603437e-07  ,-6.532550132788e-01  ,-7.782145571982e+00  
  3.916128988981e-07  ,-6.381213126352e-01  ,-2.604502824755e+00  
  3.941129412174e-07  ,-6.324320041843e-01  ,-1.838948369466e+00  
  3.978471722126e-07  ,3.378375854752e-02  ,-6.758152982222e-01  
  3.983209360063e-07  ,1.915714661888e-01  ,-5.272489201886e-01  
  3.992684635937e-07  ,4.507270914641e-01  ,-2.297987100334e-01  
  4.001919630587e-07  ,6.362045106967e-01  ,6.030660794727e-02  
  4.008732255220e-07  ,6.547956040430e-01  ,2.742974803501e-01  
  4.009720272057e-07  ,6.427963750225e-01  ,3.053238944127e-01  
  4.011696305729e-07  ,6.478595178502e-01  ,3.673675987362e-01  
  4.013076758616e-07  ,6.455793732738e-01  ,4.107029401020e-01  
  4.014833698653e-07  ,6.444210280837e-01  ,4.658457319944e-01  
  4.018020218842e-07  ,6.435380324990e-01  ,5.658195220009e-01  
  4.022313150249e-07  ,6.421377143674e-01  ,7.004143386588e-01  
  4.027278962217e-07  ,6.407095843239e-01  ,8.559452426561e-01  
  4.037210586153e-07  ,6.417604152021e-01  ,1.166344308840e+00  
  4.046739878736e-07  ,6.937337907491e-01  ,1.463105598067e+00  
  4.055701995872e-07  ,6.905568544291e-01  ,1.741012258150e+00  
  4.058383273564e-07  ,6.876274025883e-01  ,1.823897879426e+00  
  4.059661048137e-07  ,6.893706137321e-01  ,1.863352212613e+00  
  4.061737431817e-07  ,6.898043711499e-01  ,1.927401181156e+00  
  4.065363070600e-07  ,6.896101868521e-01  ,2.039040842524e+00  
  4.070482550792e-07  ,6.893694331178e-01  ,2.196224585274e+00  
  4.080721511178e-07  ,6.888448747986e-01  ,2.508847282614e+00  
  4.095769821338e-07  ,6.879300834038e-01  ,2.963510150743e+00  
  4.107128231458e-07  ,6.871817248402e-01  ,3.302356921091e+00  
  4.118253810935e-07  ,6.864166038048e-01  ,3.630184575308e+00  
  4.140504969887e-07  ,6.847987533244e-01  ,4.272141815872e+00  
  4.169070495896e-07  ,6.827604241901e-01  ,5.065257761777e+00  
  4.198973401122e-07  ,6.807165537767e-01  ,5.851729942526e+00  
  4.258779211573e-07  ,6.768896661101e-01  ,7.263378839770e+00  
  4.356813951068e-07  ,6.713257084688e-01  ,9.005200597506e+00  
  4.513693376116e-07  ,6.636050746309e-01  ,9.990748250908e+00  
  4.693639798693e-07  ,6.544966440855e-01  ,8.205993517012e+00  
  4.893643184237e-07  ,6.407716610151e-01  ,3.279472112004e+00  
  4.918643607430e-07  ,6.370161655359e-01  ,2.528149752731e+00  
  4.924893713228e-07  ,6.359195419132e-01  ,2.337700346239e+00  
  4.937393924825e-07  ,6.328609705920e-01  ,1.954171529593e+00  
  4.952548405759e-07  ,6.165714389652e-01  ,1.485220510447e+00  
  4.967261439793e-07  ,3.061140346052e-01  ,1.026699830185e+00  
  4.974989554517e-07  ,5.499314896167e-02  ,7.849180997925e-01  
  4.976619136192e-07  ,9.640590638268e-03  ,7.338711669492e-01  
  4.978457334124e-07  ,-4.424176101999e-02  ,6.762662765486e-01  
  4.982103462003e-07  ,-1.517981783250e-01  ,5.619401558602e-01  
  4.988966378056e-07  ,-3.530332139266e-01  ,3.465620457089e-01  
  4.997226277970e-07  ,-5.685203768019e-01  ,8.713794476096e-02  
  5.004810969017e-07  ,-6.594182580912e-01  ,-1.511352949373e-01  
  5.009484345697e-07  ,-6.497776791858e-01  ,-2.979154216012e-01  
  5.014142821215e-07  ,-6.423447986893e-01  ,-4.441636604838e-01  
  5.015143527322e-07  ,-6.444058855871e-01  ,-4.755684972429e-01  
  5.017144939534e-07  ,-6.443519669320e-01  ,-5.383637595171e-01  
  5.020622498028e-07  ,-6.431253084256e-01  ,-6.474217444596e-01  
  5.024110301070e-07  ,-6.420174848807e-01  ,-7.567233752863e-01  
  5.031085907154e-07  ,-6.402600223684e-01  ,-9.750409678333e-01  
  5.039060822360e-07  ,-6.466580665132e-01  ,-1.224054443730e+00  
  5.047205238275e-07  ,-6.970610582916e-01  ,-1.477566403528e+00  
  5.053660235040e-07  ,-7.035166491514e-01  ,-1.677812686334e+00  
  5.057350135081e-07  ,-6.870465097164e-01  ,-1.791975749658e+00  
  5.058630237959e-07  ,-6.890342404980e-01  ,-1.831525804341e+00  
  5.060736889623e-07  ,-6.897899835964e-01  ,-1.896548123299e+00  
  5.063516421847e-07  ,-6.896598034590e-01  ,-1.982211493671e+00  
  5.069075486295e-07  ,-6.893813714232e-01  ,-2.153078282632e+00  
  5.080193615191e-07  ,-6.888875936664e-01  ,-2.492789915757e+00  
  5.095843559735e-07  ,-6.878977034334e-01  ,-2.965722569267e+00  
  5.106946787469e-07  ,-6.871709868402e-01  ,-3.296975945317e+00  
  5.118631160490e-07  ,-6.863685256538e-01  ,-3.641228097381e+00  
  5.141999906532e-07  ,-6.846726830671e-01  ,-4.314557807811e+00  
  5.173903292648e-07  ,-6.824049618395e-01  ,-5.195577762465e+00  
  5.203634834521e-07  ,-6.803941363509e-01  ,-5.969850312196e+00  
  5.263097918265e-07  ,-6.766238549852e-01  ,-7.355962831061e+00  
  5.367331540816e-07  ,-6.708766269373e-01  ,-9.143930409087e+00  
  5.529247558348e-07  ,-6.628520369640e-01  ,-9.957816422312e+00  
  5.692683494322e-07  ,-6.545692559704e-01  ,-8.223126256786e+00  
  5.892686879866e-07  ,-6.408635706356e-01  ,-3.307838950088e+00  
  5.917687303059e-07  ,-6.374095644322e-01  ,-2.557205523813e+00  
  5.923937408857e-07  ,-6.361404315236e-01  ,-2.366900501062e+00  
  5.936437620454e-07  ,-6.332604943217e-01  ,-1.983626627783e+00  
  5.951545535259e-07  ,-6.209916075566e-01  ,-1.516369762263e+00  
  5.967633201413e-07  ,-2.960754226164e-01  ,-1.015081616072e+00  
  5.975899620585e-07  ,-2.822813399711e-02  ,-7.564125706521e-01  
  5.977559237413e-07  ,1.807139362159e-02  ,-7.044134961653e-01  
  5.979212334983e-07  ,6.650943702526e-02  ,-6.525996449321e-01  
  5.982518530123e-07  ,1.640134893612e-01  ,-5.489205367712e-01  
  5.989130920403e-07  ,3.578097099227e-01  ,-3.413958545481e-01  
