  Time                 , V(R5:1)              , V(D13:1)             
  2.002873631914e-07  ,9.813395637048e-01  ,9.027658282500e-01  
  2.005295536269e-07  ,1.150604453004e+00  ,1.663565044016e+00  
  2.007152360653e-07  ,1.010706960198e+00  ,2.246791292537e+00  
  2.007763075431e-07  ,9.814329581864e-01  ,2.438600312942e+00  
  2.008063310546e-07  ,9.944240904218e-01  ,2.532892807729e+00  
  2.008371869356e-07  ,8.793378543998e-01  ,2.629797111685e+00  
  2.008665468798e-07  ,7.933715030891e-01  ,2.722001064542e+00  
  2.008772381719e-07  ,7.896607339803e-01  ,2.755576149798e+00  
  2.008986207562e-07  ,7.951700725289e-01  ,2.822725383925e+00  
  2.009216768106e-07  ,7.956166648110e-01  ,2.895128506374e+00  
  2.009677889196e-07  ,7.950747078914e-01  ,3.039930156497e+00  
  2.010264855249e-07  ,7.943397036664e-01  ,3.224240483784e+00  
  2.011438787354e-07  ,7.934894360732e-01  ,3.592827620885e+00  
  2.013786651565e-07  ,7.918502180928e-01  ,4.329850279436e+00  
  2.017607402427e-07  ,7.898497895801e-01  ,5.528708165338e+00  
  2.021343868596e-07  ,7.884620918504e-01  ,6.700350419229e+00  
  2.027705733104e-07  ,7.856799359035e-01  ,8.693026677139e+00  
  2.035185184700e-07  ,7.831707587080e-01  ,1.103125540179e+01  
  2.050144087894e-07  ,7.776765159214e-01  ,1.568815414036e+01  
  2.079812299831e-07  ,7.682982137233e-01  ,2.481186922904e+01  
  2.104838800056e-07  ,7.605484366042e-01  ,3.234382558201e+01  
  2.123094585164e-07  ,7.553620137374e-01  ,3.771462318360e+01  
  2.142413940651e-07  ,7.501646154038e-01  ,4.326288452165e+01  
  2.173445608838e-07  ,7.422203572827e-01  ,5.183286845590e+01  
  2.206846561654e-07  ,7.344556715948e-01  ,6.050491825583e+01  
  2.273648467286e-07  ,7.205024877536e-01  ,7.576415856697e+01  
  2.372636881096e-07  ,7.020313250067e-01  ,9.210130735100e+01  
  2.392969515545e-07  ,6.988506356426e-01  ,9.439998696449e+01  
  2.433634784443e-07  ,6.924086666004e-01  ,9.783440620439e+01  
  2.514965322239e-07  ,6.788255486571e-01  ,9.988950009710e+01  
  2.677626397831e-07  ,6.425490004418e-01  ,8.483000161369e+01  
  2.877629783375e-07  ,2.314566903332e-01  ,3.750376360371e+01  
  2.893777054174e-07  ,-1.007533315139e-02  ,3.275498762949e+01  
  2.926071595771e-07  ,-4.417564739171e-01  ,2.301705469123e+01  
  2.976243805511e-07  ,-6.002227732126e-01  ,7.456302201008e+00  
  3.001609307153e-07  ,-8.638671196168e-01  ,-5.055765991248e-01  
  3.005070567502e-07  ,-8.913951735515e-01  ,-1.592898391908e+00  
  3.008441489561e-07  ,-8.614158181812e-01  ,-2.651661316396e+00  
  3.009279097801e-07  ,-7.958341931190e-01  ,-2.914701693738e+00  
  3.009758205058e-07  ,-7.921521814565e-01  ,-3.065150370268e+00  
  3.010471714566e-07  ,-7.936452435875e-01  ,-3.289192781309e+00  
  3.011473934071e-07  ,-7.946958014685e-01  ,-3.603862136929e+00  
  3.013478373082e-07  ,-7.920443254057e-01  ,-4.233090548873e+00  
  3.017487251105e-07  ,-7.903611842456e-01  ,-5.491018854726e+00  
  3.021183204742e-07  ,-7.888518718049e-01  ,-6.649988957702e+00  
  3.027198617252e-07  ,-7.865616344964e-01  ,-8.534303672285e+00  
  3.035823595615e-07  ,-7.832272108561e-01  ,-1.123057174038e+01  
  3.053073552342e-07  ,-7.773179784573e-01  ,-1.659639942118e+01  
  3.080961075516e-07  ,-7.680960937805e-01  ,-2.516131998424e+01  
  3.105514463874e-07  ,-7.606890983066e-01  ,-3.254460916068e+01  
  3.124405410977e-07  ,-7.552998230956e-01  ,-3.809569989438e+01  
  3.143259105178e-07  ,-7.502188602763e-01  ,-4.350211380387e+01  
  3.174626049491e-07  ,-7.421716961939e-01  ,-5.214965225692e+01  
  3.207647022696e-07  ,-7.344799117325e-01  ,-6.070494594831e+01  
  3.273688969107e-07  ,-7.206427627974e-01  ,-7.577246255216e+01  
  3.376208958121e-07  ,-7.014418510557e-01  ,-9.253263177675e+01  
  3.396128085347e-07  ,-6.983325848626e-01  ,-9.472273734507e+01  
  3.435966339799e-07  ,-6.920222294083e-01  ,-9.798339282461e+01  
  3.515642848702e-07  ,-6.787097828358e-01  ,-9.987927032460e+01  
  3.674995866509e-07  ,-6.433538247251e-01  ,-8.526469493151e+01  
  3.874999252053e-07  ,-2.585193554140e-01  ,-3.826856032452e+01  
  3.891235929819e-07  ,-1.756110819900e-02  ,-3.350821354182e+01  
  3.923709285351e-07  ,4.247185946140e-01  ,-2.373862963349e+01  
  3.973799538704e-07  ,5.964059427114e-01  ,-8.221826339199e+00  
  3.999213469120e-07  ,6.725305323661e-01  ,-2.470957120777e-01  
  4.024221342893e-07  ,9.051460295462e-01  ,7.602018085465e+00  
  4.035363686176e-07  ,7.588975386590e-01  ,1.108698931042e+01  
