  Time                 , V(R5:1)              , V(Vsin1:+)           
  0.000000000000e+00  ,5.111189249618e-14  ,0.000000000000e+00  
  2.000000000000e-10  ,2.672650788274e-03  ,5.654829569003e-03  
  4.000000000000e-10  ,5.277156288952e-03  ,1.130943589502e-02  
  5.995125785470e-10  ,7.781921221210e-03  ,1.694981667323e-02  
  9.985377356410e-10  ,1.260861003080e-02  ,2.822835899083e-02  
  1.796588049829e-09  ,2.124734269673e-02  ,5.077036432691e-02  
  3.392688678205e-09  ,3.511461310535e-02  ,9.574449172121e-02  
  4.926763223112e-09  ,4.511807223315e-02  ,1.387454206196e-01  
  6.381302820146e-09  ,5.209289378603e-02  ,1.792209508123e-01  
  7.787227378786e-09  ,5.728763862881e-02  ,2.179889411928e-01  
  1.010584806055e-08  ,6.338784855155e-02  ,2.809600581918e-01  
  1.474308942407e-08  ,7.200693221289e-02  ,4.021059623204e-01  
  1.937884067148e-08  ,8.573054966967e-02  ,5.146982498432e-01  
  2.865034316629e-08  ,1.688023066671e-01  ,7.050373367381e-01  
  3.891128276438e-08  ,2.648026010946e-01  ,8.459397069438e-01  
  5.196320985407e-08  ,2.949384743068e-01  ,8.982887713753e-01  
  6.654101585001e-08  ,1.854878911711e-01  ,7.811931327882e-01  
  7.986265395731e-08  ,-1.761632832546e-02  ,5.321435034107e-01  
  8.872735475153e-08  ,-1.264769040511e-01  ,3.121059769964e-01  
  9.610715483278e-08  ,-1.078821722075e-01  ,1.097934355557e-01  
  1.000269052848e-07  ,-9.271265563965e-02  ,-7.607289156710e-04  
  1.052817997798e-07  ,-8.066080558727e-02  ,-1.486550039239e-01  
  1.088722345695e-07  ,-7.684672046180e-02  ,-2.476209379854e-01  
  1.116688099965e-07  ,-7.571976278097e-02  ,-3.225877299767e-01  
  1.137531099185e-07  ,-7.600000904934e-02  ,-3.768736158091e-01  
  1.163321283922e-07  ,-7.842004214508e-02  ,-4.417836966330e-01  
  1.206407991514e-07  ,-9.371458677608e-02  ,-5.435564523251e-01  
  1.248272803888e-07  ,-1.281178669597e-01  ,-6.329335727475e-01  
  1.332002428636e-07  ,-2.164449954135e-01  ,-7.775345337339e-01  
  1.441287544832e-07  ,-2.906564249383e-01  ,-8.847334433119e-01  
  1.578333524331e-07  ,-2.683536189994e-01  ,-8.728846821956e-01  
  1.757654098138e-07  ,-5.020424603096e-02  ,-6.209107824663e-01  
  1.867579964265e-07  ,1.152737781257e-01  ,-3.637024376392e-01  
  1.939761189088e-07  ,1.184087356894e-01  ,-1.693063975112e-01  
  2.023356703386e-07  ,8.249859192410e-02  ,6.598027705153e-02  
  2.074229267702e-07  ,7.501778317575e-02  ,2.079812307251e-01  
  2.113948312864e-07  ,7.374940323734e-02  ,3.153440148010e-01  
  2.141932693586e-07  ,7.484349436431e-02  ,3.881387523688e-01  
  2.171738741264e-07  ,7.925275897809e-02  ,4.623619767224e-01  
  2.213968632087e-07  ,9.836823245340e-02  ,5.604396089415e-01  
  2.261294720039e-07  ,1.414557903227e-01  ,6.585722759354e-01  
  2.355946895942e-07  ,2.385552094042e-01  ,8.093990830056e-01  
  2.451105711326e-07  ,2.941367806110e-01  ,8.894032074577e-01  
  2.471263257131e-07  ,2.978930069370e-01  ,8.963348449378e-01  
  2.511578348741e-07  ,2.965752221503e-01  ,8.994046701937e-01  
  2.592208531961e-07  ,2.584172200381e-01  ,8.625013747325e-01  
  2.753468898401e-07  ,5.644760938060e-02  ,6.294230911285e-01  
  2.853291777238e-07  ,-1.005333143578e-01  ,4.002769013818e-01  
  2.916882482633e-07  ,-1.253806791819e-01  ,2.323476740692e-01  
  3.007764664754e-07  ,-8.389782356768e-02  ,-2.195189518588e-02  
  3.056282845601e-07  ,-7.571128245003e-02  ,-1.583080735634e-01  
  3.088759926423e-07  ,-7.409633536963e-02  ,-2.477230923598e-01  
  3.116774109468e-07  ,-7.406108664933e-02  ,-3.228147461480e-01  
  3.137512800559e-07  ,-7.489855148760e-02  ,-3.768266316588e-01  
  3.163388666973e-07  ,-7.778933094112e-02  ,-4.419496748764e-01  
  3.205365238056e-07  ,-9.287698116140e-02  ,-5.412036702524e-01  
  3.247908053264e-07  ,-1.276831196676e-01  ,-6.321999661809e-01  
  3.332993683681e-07  ,-2.174089414728e-01  ,-7.789422513972e-01  
  3.442979154453e-07  ,-2.919387345531e-01  ,-8.855981631793e-01  
  3.581232128009e-07  ,-2.665509530847e-01  ,-8.708519406215e-01  
  3.757959899768e-07  ,-4.910617084653e-02  ,-6.202845843308e-01  
