Quantity,Part Number,Part Reference,Value,Description,Manufacturer Name,Manufacturer Part Number
1,,R1,400,,,
1,,R2,10k,,,
1,,R3,10,,,
1,,R4,10,,,
1,,U1,TX810,,,
