Item Number,Quantity,Value,Description,Part Number,Part Reference,Manufacturer Name,Manufacturer Part Number,ID,SKU,ALT_MPN,ALT_MFR
1,1,400,,,R1,,,81,,,
2,1,10k,,,R2,,,134,,,
3,1,10,,,R3,,,145,,,
4,1,10,,,R4,,,155,,,
5,1,TX810,,,U1,,,85,,,
